MacroPlot.Name,Date,Index,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,MinCovLevel,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIAB 11,8/1/2024 2:59:35 PM,,,,,,,,,,,,,Lalor; Tumicki,Tumicki,,,,,,True,
PIAB 11,8/1/2024 2:59:35 PM,1,L,,,,,,,,,,,,,,,,,ERRA,,
PIAB 11,8/1/2024 2:59:35 PM,2,L,,,,,,,,,,,,,,,,,CHAN,,
PIAB 11,8/1/2024 2:59:35 PM,3,L,,,,,,,,,,,,,,,,,ANPA,,
PIAB 11,8/1/2024 2:59:35 PM,4,L,,,,,,,,,,,,,,,,,PAMU,,
PIAB 11,8/1/2024 2:59:35 PM,5,L,,,,,,,,,,,,,,,,,PHEG,,
PIAB 11,8/1/2024 2:59:35 PM,6,L,,,,,,,,,,,,,,,,,HEMU,,
PIAB 11,8/1/2024 2:59:35 PM,7,L,,,,,,,,,,,,,,,,,FRVI,,
PIAB 11,8/1/2024 2:59:35 PM,8,L,,,,,,,,,,,,,,,,,GECA,,
PIAB 11,8/1/2024 2:59:35 PM,9,L,,,,,,,,,,,,,,,,,PSJA,,
PIAB 11,8/1/2024 2:59:35 PM,10,L,,,,,,,,,,,,,,,,,PYPI,,
PIAB 11,8/1/2024 2:59:35 PM,11,L,,,,,,,,,,,,,,,,,COXX,,
PIAB 11,8/1/2024 2:59:35 PM,12,L,,,,,,,,,,,,,,,,,GNEX,,
PIAB 11,8/1/2024 2:59:35 PM,13,L,,,,,,,,,,,,,,,,,ORPA,,
PIAB 11,8/1/2024 2:59:35 PM,14,L,,,,,,,,,,,,,,,,,PECE,,
PIAB 11,8/1/2024 2:59:35 PM,15,L,,,,,,,,,,,,,,,,,PIEN,,
PIAB 11,8/1/2024 2:59:35 PM,16,L,,,,,,,,,,,,,,,,,SARA,,
PIAB 11,8/1/2024 2:59:35 PM,17,L,,,,,,,,,,,,,,,,,GADI,,
PIAB 02,8/1/2024 3:20:27 PM,,,,,,,,,,,,,Brannfors; Tumicki,Tumicki,,,,,,True,
PIAB 02,8/1/2024 3:20:27 PM,1,L,,,,,,,,,,,,,,,,,FRVI,,
PIAB 02,8/1/2024 3:20:27 PM,2,L,,,,,,,,,,,,,,,,,PAMU,,
PIAB 02,8/1/2024 3:20:27 PM,3,L,,,,,,,,,,,,,,,,,HIFE,,
PIAB 02,8/1/2024 3:20:27 PM,4,L,,,,,,,,,,,,,,,,,SISC,,
PIAB 02,8/1/2024 3:20:27 PM,5,L,,,,,,,,,,,,,,,,,CRSE,,
PIAB 02,8/1/2024 3:20:27 PM,6,L,,,,,,,,,,,,,,,,,PYPI,,
PIAB 02,8/1/2024 3:20:27 PM,7,L,,,,,,,,,,,,,,,,,SOXX-A,,
PIAB 02,8/1/2024 3:20:27 PM,8,L,,,,,,,,,,,,,,,,,ANMA,,
PIAB 02,8/1/2024 3:20:27 PM,9,L,,,,,,,,,,,,,,,,,CIXX,,
PIAB 02,8/1/2024 3:20:27 PM,10,L,,,,,,,,,,,,,,,,,PECE,,
PIAB 02,8/1/2024 3:20:27 PM,11,L,,,,,,,,,,,,,,,,,ERXX,,
PIAB 02,8/1/2024 3:20:27 PM,12,L,,,,,,,,,,,,,,,,,ERRA,,
PIAB 02,8/1/2024 3:20:27 PM,13,L,,,,,,,,,,,,,,,,,GNEX,,
PIAB 02,8/1/2024 3:20:27 PM,14,L,,,,,,,,,,,,,,,,,PSJA,,
PIAB 02,8/1/2024 3:20:27 PM,15,L,,,,,,,,,,,,,,,,,MUMO,,
PIAB 06,9/4/2024 2:52:07 PM,,,,,,,,,,,,,Lalor; Tumicki,Tumicki,,,,,,True,
PIAB 06,9/4/2024 2:52:07 PM,1,L,,,,,,,,,,,,,,,,,POXX3,,
PIAB 06,9/4/2024 2:52:07 PM,2,L,,,,,,,,,,,,,,,,,POTR,,
PIAB 06,9/4/2024 2:52:07 PM,3,L,,,,,,,,,,,,,,,,,VETH,,
PIAB 06,9/4/2024 2:52:07 PM,4,L,,,,,,,,,,,,,,,,,PSMO,,
PIAB 06,9/4/2024 2:52:07 PM,5,L,,,,,,,,,,,,,,,,,GNEX,,
PIAB 06,9/4/2024 2:52:07 PM,6,L,,,,,,,,,,,,,,,,,ARCA,,
PIAB 06,9/4/2024 2:52:07 PM,7,L,,,,,,,,,,,,,,,,,ACHY,,
PIAB 06,9/4/2024 2:52:07 PM,8,L,,,,,,,,,,,,,,,,,LOUT,,
PIAB 06,9/4/2024 2:52:07 PM,9,L,,,,,,,,,,,,,,,,,PAMU,,
PIAB 06,9/4/2024 2:52:07 PM,10,L,,,,,,,,,,,,,,,,,LIMU,,
PIAB 06,9/4/2024 2:52:07 PM,11,L,,,,,,,,,,,,,,,,,THFE,,
PIAB 06,9/4/2024 2:52:07 PM,12,L,,,,,,,,,,,,,,,,,ANPA,,
PIAB 06,9/4/2024 2:52:07 PM,13,L,,,,,,,,,,,,,,,,,LASC,,
PIAB 06,9/4/2024 2:52:07 PM,14,L,,,,,,,,,,,,,,,,,CHXX,,
PIAB 06,9/4/2024 2:52:07 PM,15,L,,,,,,,,,,,,,,,,,ERDI,,
PIAB 06,9/4/2024 2:52:07 PM,16,L,,,,,,,,,,,,,,,,,THMO,,
PIAB 06,9/4/2024 2:52:07 PM,17,L,,,,,,,,,,,,,,,,,CIXX,,
