MacroPlot.Name,Date,Index,Transect,Subbelt,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumSubbelt,TranLen,TranWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIAB 11,8/1/2024 2:59:35 PM,,,,,,,,,,,,,,2,,50,2,100,Lalor; Tumicki,Tumicki,,,,,,True,
PIAB 11,8/1/2024 2:59:35 PM,1,1,1,L,,M,1,,1,,,,,,,,,,,,,,,,MARE,,
PIAB 11,8/1/2024 2:59:35 PM,2,1,2,L,,M,13,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,3,1,3,L,,M,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,4,1,4,L,,M,3,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,5,1,4,L,,I,3,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,6,1,5,L,,I,2,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,7,1,5,L,,M,3,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,8,1,6,L,,M,22,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,9,1,6,L,,M,15,,1,,,,,,,,,,,,,,,,MARE,,
PIAB 11,8/1/2024 2:59:35 PM,10,1,6,L,,I,1,,1,,,,,,,,,,,,,,,,MARE,,
PIAB 11,8/1/2024 2:59:35 PM,11,1,7,L,,M,5,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,12,1,7,L,,M,2,,1,,,,,,,,,,,,,,,,MARE,,
PIAB 11,8/1/2024 2:59:35 PM,13,1,7,L,,M,14,,1,,,,,,,,,,,,,,,,ROWO,,
PIAB 11,8/1/2024 2:59:35 PM,14,1,8,L,,M,6,,1,,,,,,,,,,,,,,,,ROWO,,
PIAB 11,8/1/2024 2:59:35 PM,15,1,9,L,,M,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,16,1,10,L,,M,1,,1,,,,,,,,,,,,,,,,ROWO,,
PIAB 11,8/1/2024 2:59:35 PM,17,1,10,L,,M,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,18,2,10,L,,M,13,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,19,2,10,L,,M,15,,1,,,,,,,,,,,,,,,,ROWO,,
PIAB 11,8/1/2024 2:59:35 PM,20,2,10,L,,I,4,,1,,,,,,,,,,,,,,,,ROWO,,
PIAB 11,8/1/2024 2:59:35 PM,21,2,9,L,,M,13,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,22,2,9,L,,I,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,23,2,9,L,,M,3,,1,,,,,,,,,,,,,,,,ROWO,,
PIAB 11,8/1/2024 2:59:35 PM,24,2,8,L,,M,11,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,25,2,7,L,,M,13,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,26,2,5,L,,M,4,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,27,2,3,L,,M,1,,1,,,,,,,,,,,,,,,,ROWO,,
PIAB 11,8/1/2024 2:59:35 PM,28,2,3,L,,I,3,,1,,,,,,,,,,,,,,,,ROWO,,
PIAB 11,8/1/2024 2:59:35 PM,29,2,2,L,,M,6,,1,,,,,,,,,,,,,,,,MARE,,
PIAB 11,8/1/2024 2:59:35 PM,30,2,2,L,,M,5,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 11,8/1/2024 2:59:35 PM,31,2,1,L,,M,2,,1,,,,,,,,,,,,,,,,SYOR,,
PIAB 11,8/1/2024 2:59:35 PM,32,2,1,L,,I,5,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 02,8/1/2024 3:20:27 PM,,,,,,,,,,,,,,2,,50,2,100,Brannfors,Tumicki,,,,,,True,
PIAB 02,8/1/2024 3:20:27 PM,1,1,6,L,,M,11,,1,,,,,,,,,,,,,,,,CEFE,,
PIAB 02,8/1/2024 3:20:27 PM,2,1,6,L,,I,7,,1,,,,,,,,,,,,,,,,CEFE,,
