MacroPlot.Name,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIAB 11,8/1/2024 2:59:35 PM,,,,,,,,,,,,,,1,1,5,10,50,Tumicki,Tumicki,,,,,,True,
PIAB 11,8/1/2024 2:59:35 PM,1,1,1,L,,,3,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIAB 11,8/1/2024 2:59:35 PM,2,1,1,L,,,1,2,1,,,,,,,,,,,,,,,,PIPO,,
PIAB 02,8/1/2024 3:20:27 PM,,,,,,,,,,,,,,1,1,5,10,50,Brannfors,Tumicki,,,,,,True,
PIAB 02,8/1/2024 3:20:27 PM,1,1,1,L,,,2,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIAB 02,8/1/2024 3:20:27 PM,2,1,1,L,,,6,1,1,,,,,,,,,,,,,,,,PIPO,,
PIAB 02,8/1/2024 3:20:27 PM,3,1,1,L,,,28,2,1,,,,,,,,,,,,,,,,PIPO,,
PIAB 02,8/1/2024 3:20:27 PM,4,1,1,L,,,2,3,1,,,,,,,,,,,,,,,,PIPO,,
PIAB 02,8/1/2024 3:20:27 PM,5,1,1,L,,,20,0.6,1,,,,,,,,,,,,,,,,POTR,,
PIAB 02,8/1/2024 3:20:27 PM,6,1,1,L,,,15,1,1,,,,,,,,,,,,,,,,POTR,,
PIAB 02,8/1/2024 3:20:27 PM,7,1,1,L,,,8,2,1,,,,,,,,,,,,,,,,POTR,,
PIAB 02,8/1/2024 3:20:27 PM,8,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,ABCO,,
PIAB 02,8/1/2024 3:20:27 PM,9,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,ABCO,,
PIAB 06,9/4/2024 2:52:07 PM,,,,,,,,,,,,,,1,1,5,10,50,Lalor,Tumicki,,,,,,True,
PIAB 06,9/4/2024 2:52:07 PM,1,1,1,L,,,4,2,1,,,,,,,,,,,,,,,,ABCO,,
PIAB 25,8/6/2024 11:02:09 AM,,,,,,,,,,,,,,1,1,5,10,50,Tumicki,Gilmore,,,,,,True,
PIAB 25,8/6/2024 11:02:09 AM,1,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,POTR,,
PIAB 24,9/9/2024 2:56:42 PM,,,,,,,,,,,,,,1,1,5,10,50,Tumicki; Brannfors ,Tumicki,,,,,,True,
PIAB 24,9/9/2024 2:56:42 PM,1,1,1,L,,,219,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIAB 07,8/6/2024 10:12:36 AM,,,,,,,,,,,,,,1,1,5,10,50,Lalor; You-Mak,Gilmore,,,,,,True,
PIAB 07,8/6/2024 10:12:36 AM,1,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,PSME,,
