MacroPlot.Name,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIAB 11,8/1/2024 2:59:35 PM,,,,,,,,,,,,4,50,Brannfors,Tumicki,,,,,True,
PIAB 11,8/1/2024 2:59:35 PM,1,1,12,1,6.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,2,1,12,2,4,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,3,1,12,3,9,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,4,1,12,4,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,5,1,12,5,5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,6,1,12,6,5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,7,2,13,7,10.5,4,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,8,2,13,8,4.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,9,2,13,9,5.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,10,2,13,10,4.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,11,2,13,11,3,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,12,2,13,12,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,13,2,13,13,9,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,14,2,13,14,3.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,15,2,13,15,4.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,16,3,9,16,3,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,17,3,9,17,5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,18,3,9,18,5.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,19,3,9,19,4,4,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,20,3,9,20,3.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,21,4,21,21,4.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,22,4,21,22,7.5,4,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,23,4,21,23,3,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,24,4,21,24,3,4,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,25,4,21,25,9,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,,,,,,,,,,,,4,50,Lalor; Tumicki,Tumicki,,,,,True,
PIAB 02,8/1/2024 3:20:27 PM,1,1,5,1,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,2,1,5,2,4,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,3,1,5,3,4,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,4,1,5,4,7,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,5,1,5,5,4,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,6,1,5,6,14,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,7,1,5,7,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,8,2,1,8,18.5,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,9,2,1,9,3.5,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,10,2,1,10,4,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,11,3,4,11,3.5,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,12,3,4,12,3,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,13,3,4,13,4,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,14,3,4,14,19.5,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,15,4,5,15,7,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,16,4,5,16,23,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,17,4,5,17,4.5,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,18,4,5,18,7,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,19,4,5,19,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,20,4,5,20,5,3,PIAB,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,,,,,,,,,,,,4,50,Gilmore,Tumicki,,,,,True,
PIAB 06,9/4/2024 2:52:07 PM,1,1,18,1,17,4,PIAB,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,2,4,5,2,5.5,4,PIAB,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,3,4,5,3,4,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,,,,,,,,,,,,4,50,Lalor; You-Mak,Gilmore,,,,,True,
