MacroPlot.Name,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIAB 11,8/1/2024 2:59:35 PM,,,,,,,,,,,,,4,6,6,12,Brannfors,Tumicki,,,,Beefalo,True,
PIAB 11,8/1/2024 2:59:35 PM,1,1,120,12,1,2,2,PIAB,1B near 12m on P1-P2 tape,,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,2,2,285,13,6,22,2,PIAB,L of PSME poles @ 34' & 42'; under/L of ABCO poles @ 44',,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,3,3,239,9,9,23,0,PIAB,R of big PIPO #65 @ 24'; cross Q3-Q2 tape @ 21.3m,,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,4,4,328,21,0,0,2,PIAB,L of twin lil PIPOs @ 5'; weave through PIPO thicket; 4B near 29m on Q4-Q1 tape,,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,,,,,,,,,,,,,4,6,6,12,Lalor; Tumicki,Tumicki,,,,Beefalo,True,
PIAB 02,8/1/2024 3:20:27 PM,1,1,42,5,96,3,0,PIAB,Rebar under P1-P2 tape @14m,,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,2,2,172,1,14,7,0,PIAB,Rebar is 1m in from Q2-Q3 line @9.5m,,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,3,3,4,4,3,5,2,PIAB,3B in log L of base of ABCO #180,,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,4,4,46,5,2,1,5,PIAB,Over big log; across Q1-Q2 line at 34',,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,,,,,,,,,,,,,4,6,6,12,Gilmore,Tumicki,Beefalo,,,,True,
PIAB 06,9/4/2024 2:52:07 PM,1,1,273,18,4,8,4,PIAB,R of BBD stump @ 14'; 1B near P1,,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,2,2,215,18,1,1,0,PIAB,L of small PIPO @ 46',,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,3,3,91,18,5,3,0,PIAB,R of small ABCO @ 10'; cross P1-P2 line @ 13.5m,,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,4,4,318,5,5,12,0,PIAB,R of big freakin' ABCO @ 38',,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,,,,,,,,,,,,,4,6,6,12,Lalor; You-Mak,Gilmore,Beefalo,,,,True,
PIAB 25,8/6/2024 11:02:09 AM,1,1,140,10,2,5,0,PIAB,L of ABCO #88 @ 14'; R of PIPO #83 @ 29',,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,2,2,339,2,4,4,1,PIAB,R of ABCO #9 @ 33',,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,3,3,230,1,1,1,0,PIAB,Over stumphole @ 6',,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,4,4,348,0,1,4,0,PIAB,Cross Q4-Q1 tape at 30.2m,,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,,,,,,,,,,,,,4,6,6,12,Gilmore,Tumicki,Beefalo,,,,True,
PIAB 24,9/9/2024 2:56:42 PM,1,1,312,7,10,12,8,PIAB,UPHILL of 0P; Cross short Q3-Q4 tape @ 8.2m; THROUGH ALL THE GROSS STUFF,,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,2,2,268,15,3,8,0,PIAB,L of PIPO #76 @ 18'; R of ABCO #6 @ 24'; L of PIPO #79 @ 31',,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,3,3,178,5,0,8,3,PIAB,R of ABCO pole #300 @ 27'; check tag -- L/uphill of 4B,,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,4,4,224,2,2,0,2,PIAB,Through shrubby ABCO @ 34'; check tag -- R/downhill of 3B,,,,,,,,,,,,,,,
PIAB 07,8/6/2024 10:12:36 AM,,,,,,,,,,,,,4,6,6,12,Brannfors; Gilmore,Gilmore,Beefalo,,,,True,
PIAB 07,8/6/2024 10:12:36 AM,1,1,110,2,0,1,5,PIAB,L of ABCO@ 19'; R of little PIPO @5ft,,,,,,,,,,,,,,,
PIAB 07,8/6/2024 10:12:36 AM,2,2,11,2,0,2,0,PIAB,L of POTR stump @ 50',,,,,,,,,,,,,,,
PIAB 07,8/6/2024 10:12:36 AM,3,3,293,1,1,3,1,PIAB,Cross Q2-Q3 tape @ 27.4m,,,,,,,,,,,,,,,
PIAB 07,8/6/2024 10:12:36 AM,4,4,112,1,0,0,0,PIAB,R of lil PIPO & ABCO @ 19'; cross Q4-Q1 tape @ 44.0m,,,,,,,,,,,,,,,
