MacroPlot.Name,Date,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIAB 11,8/1/2024 2:59:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,15,Lalor; Brannfors; Tumicki,Tumicki,,,,,,True,
PIAB 11,8/1/2024 2:59:35 PM,1,True,1,0.5,110,D,,,,DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSME,,
PIAB 11,8/1/2024 2:59:35 PM,2,True,1,0.5,113,D,9.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing tag,,,,,,,,,,,,,PSME,,
PIAB 11,8/1/2024 2:59:35 PM,3,True,1,0.5,117,D,,,,DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSME,,
PIAB 11,8/1/2024 2:59:35 PM,4,True,1,0.5,122,D,8.7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing tag,,,,,,,,,,,,,PSME,,
PIAB 11,8/1/2024 2:59:35 PM,5,True,1,0.5,123,D,,,,DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSME,,
PIAB 11,8/1/2024 2:59:35 PM,6,True,1,0.5,207,L,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIAB 11,8/1/2024 2:59:35 PM,7,True,1,0.5,215,L,3.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIAB 11,8/1/2024 2:59:35 PM,8,True,1,0.5,218,L,2.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIAB 11,8/1/2024 2:59:35 PM,9,True,1,0.5,219,L,2.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
