MacroPlot.Name,Date,Index,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,MinCovLevel,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIEN 15,8/5/2024 1:19:35 PM,,,,,,,,,,,,,Brannfors; Lalor,Westfahl,,,,,,True,
PIEN 15,8/5/2024 1:19:35 PM,1,L,,,,,,,,,,,,,,,,,PHEG,,
PIEN 15,8/5/2024 1:19:35 PM,2,L,,,,,,,,,,,,,,,,,ARDR,,
PIEN 15,8/5/2024 1:19:35 PM,3,L,,,,,,,,,,,,,,,,,ACMI,,
PIEN 15,8/5/2024 1:19:35 PM,4,L,,,,,,,,,,,,,,,,,PIPO,,
PIEN 15,8/5/2024 1:19:35 PM,5,L,,,,,,,,,,,,,,,,,ANPA,,
PIEN 15,8/5/2024 1:19:35 PM,6,L,,,,,,,,,,,,,,,,,TAOF,,
PIEN 15,8/5/2024 1:19:35 PM,7,L,,,,,,,,,,,,,,,,,PSJA,,
PIEN 15,8/5/2024 1:19:35 PM,8,L,,,,,,,,,,,,,,,,,SARA,,
PIEN 15,8/5/2024 1:19:35 PM,9,L,,,,,,,,,,,,,,,,,POPR,,
PIEN 15,8/5/2024 1:19:35 PM,10,L,,,,,,,,,,,,,,,,,SISC,,
PIEN 15,8/5/2024 1:19:35 PM,11,L,,,,,,,,,,,,,,,,,AQCA,,
PIEN 15,8/5/2024 1:19:35 PM,12,L,,,,,,,,,,,,,,,,,PECE,,
PIEN 15,8/5/2024 1:19:35 PM,13,L,,,,,,,,,,,,,,,,,PYPI,,
PIEN 14,8/19/2024 1:26:35 PM,,,,,,,,,,,,,Westfahl; Tumicki,Westfahl,,,,,,True,
PIEN 14,8/19/2024 1:26:35 PM,1,L,,,,,,,,,,,,,,,,,ORPA,,
PIEN 14,8/19/2024 1:26:35 PM,2,L,,,,,,,,,,,,,,,,,ANPA,,
PIEN 14,8/19/2024 1:26:35 PM,3,L,,,,,,,,,,,,,,,,,THFE,,
PIEN 14,8/19/2024 1:26:35 PM,4,L,,,,,,,,,,,,,,,,,ANMA,,
PIEN 14,8/19/2024 1:26:35 PM,5,L,,,,,,,,,,,,,,,,,PYPI,,
PIEN 14,8/19/2024 1:26:35 PM,6,L,,,,,,,,,,,,,,,,,ARLA,,
PIEN 14,8/19/2024 1:26:35 PM,7,L,,,,,,,,,,,,,,,,,SISC,,
PIEN 14,8/19/2024 1:26:35 PM,8,L,,,,,,,,,,,,,,,,,BRFR,,
PIEN 14,8/19/2024 1:26:35 PM,9,L,,,,,,,,,,,,,,,,,GOOB,,
PIEN 14,8/19/2024 1:26:35 PM,10,L,,,,,,,,,,,,,,,,,POFE,,
PIEN 14,8/19/2024 1:26:35 PM,11,L,,,,,,,,,,,,,,,,,FRSP,,
PIEN 14,8/19/2024 1:26:35 PM,12,L,,,,,,,,,,,,,,,,,CHUM,,
PIEN 14,8/19/2024 1:26:35 PM,13,L,,,,,,,,,,,,,,,,,MEFR,,
PIEN 14,8/19/2024 1:26:35 PM,14,L,,,,,,,,,,,,,,,,,CIXX,,
PIEN 17,8/7/2024 1:28:03 PM,,,,,,,,,,,,,Lalor; Gilmore,Westfahl,,,,,,True,
PIEN 17,8/7/2024 1:28:03 PM,1,L,,,,,,,,,,,,,,,,,PYPI,,
PIEN 17,8/7/2024 1:28:03 PM,2,L,,,,,,,,,,,,,,,,,ELTR,,
PIEN 17,8/7/2024 1:28:03 PM,3,L,,,,,,,,,,,,,,,,,MAST,,
PIEN 17,8/7/2024 1:28:03 PM,4,L,,,,,,,,,,,,,,,,,AQCA,,
PIEN 17,8/7/2024 1:28:03 PM,5,L,,,,,,,,,,,,,,,,,CHAN,,
PIEN 17,8/7/2024 1:28:03 PM,6,L,,,,,,,,,,,,,,,,,SISC,,
PIEN 17,8/7/2024 1:28:03 PM,7,L,,,,,,,,,,,,,,,,,ANMA,,
