MacroPlot.Name,Date,Index,Transect,Subbelt,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumSubbelt,TranLen,TranWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIEN 15,8/5/2024 1:19:35 PM,,,,,,,,,,,,,,2,,50,2,100,Tumicki; Gilmore,Westfahl,,,,,,True,
PIEN 15,8/5/2024 1:19:35 PM,1,1,3,L,,M,3,,1,,,,,,,,,,,,,,,,AMUT,,
PIEN 15,8/5/2024 1:19:35 PM,2,1,4,L,,I,2,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 15,8/5/2024 1:19:35 PM,3,1,4,L,,M,8,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 15,8/5/2024 1:19:35 PM,4,1,5,L,,M,4,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 15,8/5/2024 1:19:35 PM,5,1,6,L,,M,3,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 15,8/5/2024 1:19:35 PM,6,1,7,L,,M,5,,1,,,,,,,,,,,,,,,,RONE,,
PIEN 15,8/5/2024 1:19:35 PM,7,1,7,L,,I,4,,1,,,,,,,,,,,,,,,,RONE,,
PIEN 15,8/5/2024 1:19:35 PM,8,1,8,L,,M,24,,1,,,,,,,,,,,,,,,,RONE,,
PIEN 15,8/5/2024 1:19:35 PM,9,1,8,L,,I,4,,1,,,,,,,,,,,,,,,,RONE,,
PIEN 15,8/5/2024 1:19:35 PM,10,1,9,L,,M,16,,1,,,,,,,,,,,,,,,,RONE,,
PIEN 15,8/5/2024 1:19:35 PM,11,1,9,L,,I,5,,1,,,,,,,,,,,,,,,,RONE,,
PIEN 15,8/5/2024 1:19:35 PM,12,1,10,L,,M,17,,1,,,,,,,,,,,,,,,,RONE,,
PIEN 15,8/5/2024 1:19:35 PM,13,1,10,L,,M,2,,1,,,,,,,,,,,,,,,,RONE,,
PIEN 15,8/5/2024 1:19:35 PM,14,1,10,L,,I,1,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 15,8/5/2024 1:19:35 PM,15,2,10,L,,M,11,,1,,,,,,,,,,,,,,,,RONE,,
PIEN 15,8/5/2024 1:19:35 PM,16,2,10,L,,I,3,,1,,,,,,,,,,,,,,,,RONE,,
PIEN 15,8/5/2024 1:19:35 PM,17,2,6,L,,M,1,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 15,8/5/2024 1:19:35 PM,18,2,4,L,,M,10,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 15,8/5/2024 1:19:35 PM,19,2,4,L,,I,4,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 15,8/5/2024 1:19:35 PM,20,2,3,L,,M,1,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 15,8/5/2024 1:19:35 PM,21,2,1,L,,M,5,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 14,8/19/2024 1:26:35 PM,,,,,,,,,,,,,,2,,50,2,100,Brannfors,Westfahl,,,,,,True,
PIEN 14,8/19/2024 1:26:35 PM,1,2,10,L,,M,3,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 14,8/19/2024 1:26:35 PM,2,2,10,L,,I,6,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 14,8/19/2024 1:26:35 PM,3,2,10,L,,M,1,,1,,,,,,,,,,,,,,,,SODU,,
PIEN 14,8/19/2024 1:26:35 PM,4,2,9,L,,M,1,,1,,,,,,,,,,,,,,,,SODU,,
PIEN 14,8/19/2024 1:26:35 PM,5,2,9,L,,I,2,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 14,8/19/2024 1:26:35 PM,6,2,5,L,,M,20,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 14,8/19/2024 1:26:35 PM,7,2,5,L,,I,9,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 14,8/19/2024 1:26:35 PM,8,2,4,L,,M,1,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 14,8/19/2024 1:26:35 PM,9,2,2,L,,M,1,,1,,,,,,,,,,,,,,,,AMUT,,
PIEN 14,8/19/2024 1:26:35 PM,10,2,2,L,,I,1,,1,,,,,,,,,,,,,,,,AMUT,,
PIEN 14,8/19/2024 1:26:35 PM,11,2,1,L,,M,1,,1,,,,,,,,,,,,,,,,AMUT,,
PIEN 17,8/7/2024 1:28:03 PM,,,,,,,,,,,,,,2,,50,2,100,Brannfors; Tumicki,Westfahl,,,,,,True,
PIEN 17,8/7/2024 1:28:03 PM,1,1,3,L,,M,5,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 17,8/7/2024 1:28:03 PM,2,1,3,L,,I,2,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 17,8/7/2024 1:28:03 PM,3,1,4,L,,M,8,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 17,8/7/2024 1:28:03 PM,4,1,6,L,,M,1,,1,,,,,,,,,,,,,,,,JUCO,,
PIEN 17,8/7/2024 1:28:03 PM,5,1,7,L,,M,1,,1,,,,,,,,,,,,,,,,JUCO,,
PIEN 17,8/7/2024 1:28:03 PM,6,2,9,L,,M,1,,1,,,,,,,,,,,,,,,,SODU,,
PIEN 17,8/7/2024 1:28:03 PM,7,2,7,L,,I,1,,1,,,,,,,,,,,,,,,,SODU,,
PIEN 17,8/7/2024 1:28:03 PM,8,2,5,L,,M,1,,1,,,,,,,,,,,,,,,,SODU,,
