MacroPlot.Name,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIEN 15,8/5/2024 1:19:35 PM,,,,,,,,,,,,,,1,1,10,5,50,Gilmore; Tumicki,Westfahl,,,,,,True,
PIEN 15,8/5/2024 1:19:35 PM,1,1,1,L,,,2,4,1,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,2,1,1,L,,,11,0.6,1,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,3,1,1,L,,,6,2,1,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,4,1,1,L,,,6,3,1,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,5,1,1,L,,,2,1,1,,,,,,,,,,,,,,,,POTR,,
PIEN 14,8/19/2024 1:26:35 PM,,,,,,,,,,,,,,1,1,5,10,50,Brannfors,Westfahl,,,,,,True,
PIEN 14,8/19/2024 1:26:35 PM,1,1,1,L,,,2,0.6,1,,,,,,,,,,,,,,,,POTR,,
PIEN 14,8/19/2024 1:26:35 PM,2,1,1,L,,,2,1,1,,,,,,,,,,,,,,,,POTR,,
PIEN 14,8/19/2024 1:26:35 PM,3,1,1,L,,,5,2,1,,,,,,,,,,,,,,,,POTR,,
PIEN 14,8/19/2024 1:26:35 PM,4,1,1,L,,,2,3,1,,,,,,,,,,,,,,,,POTR,,
PIEN 14,8/19/2024 1:26:35 PM,5,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,ABCO,,
PIEN 14,8/19/2024 1:26:35 PM,6,1,1,L,,,2,1,1,,,,,,,,,,,,,,,,ABCO,,
PIEN 14,8/19/2024 1:26:35 PM,7,1,1,L,,,4,2,1,,,,,,,,,,,,,,,,ABCO,,
PIEN 14,8/19/2024 1:26:35 PM,8,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,PIEN,,
PIEN 14,8/19/2024 1:26:35 PM,9,1,1,L,,,2,2,1,,,,,,,,,,,,,,,,PIEN,,
PIEN 17,8/7/2024 1:28:03 PM,,,,,,,,,,,,,,1,1,5,10,50,Tumicki,Westfahl,,,,,,True,
PIEN 17,8/7/2024 1:28:03 PM,1,1,1,L,,,25,0.6,1,,,,,,,,,,,,,,,,ABLA,,
PIEN 17,8/7/2024 1:28:03 PM,2,1,1,L,,,3,1,1,,,,,,,,,,,,,,,,ABLA,,
PIEN 17,8/7/2024 1:28:03 PM,3,1,1,L,,,8,2,1,,,,,,,,,,,,,,,,ABLA,,
PIEN 17,8/7/2024 1:28:03 PM,4,1,1,L,,,1,2,1,,,,,,,,,,,,,,,,ABCO,,
PIEN 17,8/7/2024 1:28:03 PM,5,1,1,L,,,2,0.6,1,,,,,,,,,,,,,,,,POTR,,
PIEN 17,8/7/2024 1:28:03 PM,6,1,1,L,,,2,1,1,,,,,,,,,,,,,,,,POTR,,
PIEN 17,8/7/2024 1:28:03 PM,7,1,1,L,,,1,2,1,,,,,,,,,,,,,,,,POTR,,
