MacroPlot.Name,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIEN 15,8/5/2024 1:19:35 PM,,,,,,,,,,,,4,50,Tumicki; Gilmore,Westfahl,,,,,True,
PIEN 15,8/5/2024 1:19:35 PM,1,1,5,1,12,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,2,1,5,2,12,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,3,1,5,3,20,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,4,1,5,4,16,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,5,1,5,5,16.5,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,6,2,4,6,16,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,7,2,4,7,12.5,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,8,2,4,8,7.5,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,9,2,4,9,7,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,10,2,4,10,10,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,11,3,4,11,9,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,12,3,4,12,16,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,13,3,4,13,9,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,14,3,4,14,8,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,15,3,4,15,4,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,16,3,4,16,13.5,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,17,3,4,17,3.5,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,18,4,19,18,11,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,19,4,19,19,15,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,20,4,19,20,9.5,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,21,4,19,21,4,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,22,4,19,22,3.5,3,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,,,,,,,,,,,,4,50,Brannfors; Lalor,Westfahl,,,,,True,
PIEN 14,8/19/2024 1:26:35 PM,1,1,5,1,16,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,2,1,5,2,5.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,3,1,5,3,17,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,4,2,20,4,12,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,5,2,20,5,5.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,6,2,20,6,13,3,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,7,2,20,7,7,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,8,2,20,8,9,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,9,2,20,9,12.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,10,2,20,10,5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,11,2,20,11,7.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,12,3,15,12,4,3,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,13,3,15,13,12,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,14,3,15,14,8.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,15,3,15,15,4,3,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,16,3,15,16,10,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,17,4,19,17,8.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,18,4,19,18,14,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,19,4,19,19,4,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,20,4,19,20,3.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,,,,,,,,,,,,4,50,Brannfors; Tumicki,Westfahl,,,,,True,
PIEN 17,8/7/2024 1:28:03 PM,1,1,7,1,3.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,2,1,7,2,3,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,3,1,7,3,4.5,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,4,1,7,4,4,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,5,1,7,5,3,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,6,1,7,6,9,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,7,1,7,7,3,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,8,1,7,8,4.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,9,1,7,9,3.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,10,1,7,10,4,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,11,2,2,11,14,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,12,2,2,12,7,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,13,2,2,13,6,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,14,2,2,14,5.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,15,2,2,15,4.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,16,3,29,16,6,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,17,3,29,17,3,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,18,3,29,18,4,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,19,3,29,19,4.5,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,20,3,29,20,3,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,21,3,29,21,6,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,22,3,29,22,3.5,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,23,3,29,23,5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,24,3,29,24,8.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,25,4,16,25,15.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,26,4,16,26,5.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,27,4,16,27,3.5,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,28,4,16,28,9,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,29,4,16,29,25,4,PIEN,,,,,,,,,,,,,,
