MacroPlot.Name,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIEN 15,8/5/2024 1:19:35 PM,,,,,,,,,,,,,4,6,6,12,Tumicki; Gilmore,Westfahl,,,,,True,
PIEN 15,8/5/2024 1:19:35 PM,1,1,199,5,30,2,0,PIEN,L of stump #33 @ 15'; 1B is 1m in from Q4-Q1 line @22m,,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,2,2,174,4,2,1,2,PIEN,R of ABLA snag @ 36',,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,3,3,287,4,12,4,2,PIEN,L of blackened stump @ 35',,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,4,4,218,19,33,8,2,PIEN,Across Q1-Q2 line @ 7m,,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,,,,,,,,,,,,,4,6,6,12,Brannfors; Lalor,Westfahl,,,,,True,
PIEN 14,8/19/2024 1:26:35 PM,1,1,213,5,9,12,1,PIEN,R of big snag @ 20'; R of POTR poles @ 37'; 1B is R of large rock,,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,2,2,74,20,18,18,3,PIEN,L of ABCO pole @ 9'; L of PSME pole @ 26',,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,3,3,21,15,16,3,0,PIEN,Btwn ABCO #151 & PIEN #155 @ 12'; R of PIEN #297 @ 21'; R of PIEN #179 @ 33',,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,4,4,201,19,16,5,1,PIEN,R of stump @ 16'; L of lil PIEN @ 24'; cross Q4-Q1 tape @ 34m,,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,,,,,,,,,,,,,4,6,6,12,Tumicki; Brannfors,Westfahl,,,,,True,
PIEN 17,8/7/2024 1:28:03 PM,1,1,239,7,13,12,3,PIEN,R of ABCO @ 5'. 1m L of POTR @ 20'. R of POTR @ 39'. CEFE. Crosses short tape @ 12.2m,,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,2,2,220,2,28,6,5,PIEN,Over DD ABLA base @ 9'. Between ABLAs (#63 & #64) @ 18',,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,3,3,143,29,63,11,1,PIEN,L of #P291 @ 13'; cross Q3-Q2 tape @ 34m; R of CROK POTR @ 47',,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,4,4,268,16,8,2,3,PIEN,R of POTR @ 4'; L of POTR #260 @ 23'; 4B near P1-P2 line @ 4m; 4A in punky log; reposition if burned,,,,,,,,,,,,,,,
