MacroPlot.Name,Date,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIEN 15,8/5/2024 1:19:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,15,Lalor; Tumicki; Brannfors; Gilmore,Westfahl,,,,,,True,
PIEN 15,8/5/2024 1:19:35 PM,1,True,1,0.05,128,L,7.4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,2,True,1,0.05,129,L,8.8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,3,True,1,0.05,149,L,10.1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,4,True,1,0.05,150,L,6.4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,5,True,1,0.05,151,L,9.1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,6,True,1,0.05,152,L,5.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,7,True,1,0.05,153,L,5.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,8,True,1,0.05,154,L,8.9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,9,True,1,0.05,155,L,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,10,True,1,0.05,156,L,9.1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,11,True,1,0.05,157,L,5.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,12,True,1,0.05,158,L,8.4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,13,True,1,0.05,159,L,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,14,True,1,0.05,160,L,10.2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,15,True,1,0.05,161,L,7.1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,16,True,1,0.05,162,L,4.7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,17,True,1,0.05,187,L,9.6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,18,True,1,0.05,188,L,6.2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,19,True,1,0.05,189,L,10.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,20,True,1,0.05,194,L,7.2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,21,True,1,0.05,200,L,3.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,22,True,1,0.05,207,L,4.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,23,True,1,0.05,216,L,2.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,24,True,1,0.05,223,L,6.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,25,True,1,0.05,224,L,3.8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,26,True,1,0.05,225,L,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,27,True,1,0.05,234,L,3.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,28,True,1,0.05,236,L,2.8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,29,True,1,0.05,237,L,4.3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,30,True,1,0.05,238,L,3.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,31,True,1,0.05,240,L,3.7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,32,True,1,0.05,269,L,9.8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,33,True,1,0.05,270,L,7.2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,34,True,1,0.05,271,L,5.6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,35,True,1,0.05,272,L,10.6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
PIEN 15,8/5/2024 1:19:35 PM,36,True,1,0.05,273,L,8.6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR,,
