MacroPlot.Name,Date,Index,Transect,Point,Tape,Order,Height,CanopyLayer,Status,Comment,UV1,UV2,UV3,NumTran,TranLen,NumPtsTran,Offset,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIPN 01,6/5/2024 1:13:07 PM,,,,,,,,,,,,,2,49.8,166,0,Lalor; Brannfors; Gilmore,Tumicki,,,,,,True,
PIPN 01,6/5/2024 1:13:07 PM,1,1,1,0.3,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,2,1,2,0.6,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,3,1,3,0.9,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,4,1,4,1.2,1,,,D,,,,,,,,,,,,,,,WOOD,,
PIPN 01,6/5/2024 1:13:07 PM,5,1,5,1.5,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,6,1,6,1.8,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,7,1,7,2.1,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,8,1,8,2.4,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,9,1,9,2.7,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,10,1,10,3,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,11,1,11,3.3,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,12,1,12,3.6,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,13,1,13,3.9,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,14,1,14,4.2,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,15,1,15,4.5,1,,,D,,,,,,,,,,,,,,,BARE,,
PIPN 01,6/5/2024 1:13:07 PM,16,1,16,4.8,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,17,1,17,5.1,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,18,1,18,5.4,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,19,1,19,5.7,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,20,1,20,6,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,21,1,21,6.3,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,22,1,22,6.6,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,23,1,23,6.9,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,24,1,24,7.2,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,25,1,25,7.5,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,26,1,26,7.8,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,27,1,27,8.1,1,0.15,,L,,,,,,,,,,,,,,,CAXX,,
PIPN 01,6/5/2024 1:13:07 PM,28,1,28,8.4,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,29,1,29,8.7,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,30,1,30,9,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,31,1,31,9.3,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,32,1,32,9.6,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,33,1,33,9.9,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,34,1,34,10.2,1,,,D,,,,,,,,,,,,,,,LITT,,
PIPN 01,6/5/2024 1:13:07 PM,35,1,35,10.5,1,,,D,,,,,,,,,,,,,,,LITT,,
