MacroPlot.Name,Date,Index,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,MinCovLevel,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIPN 01,6/5/2024 1:13:07 PM,,,,,,,,,,,,,Lalor; Brannfors; Gilmore,Tumicki,,,,,,True,
PIPN 01,6/5/2024 1:13:07 PM,1,L,,,,,,,,,,,,,,,,,ACMI,,
PIPN 01,6/5/2024 1:13:07 PM,2,L,,,,,,,,,,,,,,,,,PAMU,,
PIPN 01,6/5/2024 1:13:07 PM,3,L,,,,,,,,,,,,,,,,,HIFE,,
PIPN 01,6/5/2024 1:13:07 PM,4,L,,,,,,,,,,,,,,,,,BRTE,,
PIPN 01,6/5/2024 1:13:07 PM,5,L,,,,,,,,,,,,,,,,,LOUT,,
PIPN 01,6/5/2024 1:13:07 PM,6,L,,,,,,,,,,,,,,,,,GNEX,,
PIPN 01,6/5/2024 1:13:07 PM,7,L,,,,,,,,,,,,,,,,,CIXX,,
PIPN 01,6/5/2024 1:13:07 PM,8,L,,,,,,,,,,,,,,,,,ELEL,,
PIPN 01,6/5/2024 1:13:07 PM,9,L,,,,,,,,,,,,,,,,,SOXX,,
PIPN 01,6/5/2024 1:13:07 PM,10,L,,,,,,,,,,,,,,,,,ERRA,,
PIPN 01,6/5/2024 1:13:07 PM,11,L,,,,,,,,,,,,,,,,,PODO,,
PIPN 01,6/5/2024 1:13:07 PM,12,L,,,,,,,,,,,,,,,,,PYPI,,
PIPN 01,6/5/2024 1:13:07 PM,13,L,,,,,,,,,,,,,,,,,ERXX,,
PIPN 01,6/5/2024 1:13:07 PM,14,L,,,,,,,,,,,,,,,,,PTAN,,
PIPN 01,6/5/2024 1:13:07 PM,15,L,,,,,,,,,,,,,,,,,ROWO,,
PIPN 13,9/11/2024 3:02:58 PM,,,,,,,,,,,,,Brannfors; Tumicki,Gilmore,,,,,,True,
PIPN 13,9/11/2024 3:02:58 PM,1,L,,,,,,,,,,,,,,,,,CIXX,,
PIPN 13,9/11/2024 3:02:58 PM,2,L,,,,,,,,,,,,,,,,,ASXX,,
PIPN 13,9/11/2024 3:02:58 PM,3,L,,,,,,,,,,,,,,,,,ERRA,,
PIPN 13,9/11/2024 3:02:58 PM,4,L,,,,,,,,,,,,,,,,,ERXX2,,
