MacroPlot.Name,Date,Index,Transect,Subbelt,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumSubbelt,TranLen,TranWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIPN 01,6/5/2024 1:13:07 PM,,,,,,,,,,,,,,2,,50,2,100,Brannfors; Lalor; Westfahl; Tumicki ,Tumicki,,,,,,True,
PIPN 01,6/5/2024 1:13:07 PM,1,1,6,L,,M,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIPN 01,6/5/2024 1:13:07 PM,2,1,7,L,,M,1,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,3,1,9,L,,M,2,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,4,1,9,L,,I,2,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,5,1,10,L,,I,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIPN 01,6/5/2024 1:13:07 PM,6,1,10,L,,M,11,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,7,2,8,L,,M,2,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,8,2,8,L,,I,2,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,9,2,8,L,,M,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIPN 01,6/5/2024 1:13:07 PM,10,2,8,L,,I,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIPN 01,6/5/2024 1:13:07 PM,11,2,5,L,,I,6,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,12,2,5,L,,M,8,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,13,2,4,L,,M,10,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,14,2,4,L,,I,7,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,15,2,3,L,,M,21,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,16,2,3,L,,I,13,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,17,2,2,L,,M,17,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,18,2,2,L,,I,3,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,19,2,1,L,,M,10,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 01,6/5/2024 1:13:07 PM,20,2,1,L,,I,6,,1,,,,,,,,,,,,,,,,MARE,,
PIPN 13,9/11/2024 3:02:58 PM,,,,,,,,,,,,,,2,,50,2,100,Brannfors,Gilmore,,,,,,True,
PIPN 13,9/11/2024 3:02:58 PM,1,2,10,L,,M,1,,1,,,,,,,,,,,,,,,,RONE,,
PIPN 13,9/11/2024 3:02:58 PM,2,2,9,L,,M,2,,1,,,,,,,,,,,,,,,,RONE,,
PIPN 13,9/11/2024 3:02:58 PM,3,2,9,L,,M,2,,1,,,,,,,,,,,,,,,,CHDE,,
PIPN 13,9/11/2024 3:02:58 PM,4,2,8,L,,M,6,,1,,,,,,,,,,,,,,,,CHDE,,
PIPN 13,9/11/2024 3:02:58 PM,5,2,8,L,,I,2,,1,,,,,,,,,,,,,,,,CHDE,,
PIPN 13,9/11/2024 3:02:58 PM,6,2,7,L,,M,2,,1,,,,,,,,,,,,,,,,RONE,,
PIPN 13,9/11/2024 3:02:58 PM,7,2,7,L,,M,3,,1,,,,,,,,,,,,,,,,CHDE,,
PIPN 13,9/11/2024 3:02:58 PM,8,2,7,L,,M,2,,1,,,,,,,,,,,,,,,,ERNA,,
PIPN 13,9/11/2024 3:02:58 PM,9,2,6,L,,M,1,,1,,,,,,,,,,,,,,,,ERNA,,
PIPN 13,9/11/2024 3:02:58 PM,10,2,6,L,,M,1,,1,,,,,,,,,,,,,,,,CHDE,,
PIPN 13,9/11/2024 3:02:58 PM,11,2,5,L,,M,3,,1,,,,,,,,,,,,,,,,ERNA,,
PIPN 13,9/11/2024 3:02:58 PM,12,2,4,L,,M,2,,1,,,,,,,,,,,,,,,,ERNA,,
PIPN 13,9/11/2024 3:02:58 PM,13,2,3,L,,M,9,,1,,,,,,,,,,,,,,,,ERNA,,
PIPN 13,9/11/2024 3:02:58 PM,14,2,2,L,,I,1,,1,,,,,,,,,,,,,,,,ERNA,,
PIPN 08,9/10/2024 3:01:35 PM,,,,,,,,,,,,,,2,,50,2,100,Gilmore; Tumicki,Brannfors,,,,,,True,
