MacroPlot.Name,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIPN 01,6/5/2024 1:13:07 PM,,,,,,,,,,,,,,1,1,25,10,250,Brannfors; Lalor; Westfahl; Tumicki ,Tumicki,,,,,,True,
PIPN 01,6/5/2024 1:13:07 PM,1,1,1,L,,,5,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,2,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,ABCO,,
PIPN 13,9/11/2024 3:02:58 PM,,,,,,,,,,,,,,1,1,10,25,250,Tumicki; Brannfors,Gilmore,,,,,,True,
PIPN 13,9/11/2024 3:02:58 PM,1,1,1,L,,,5,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 13,9/11/2024 3:02:58 PM,2,1,1,L,,,4,0.6,1,,,,,,,,,,,,,,,,PIED,,
PIPN 08,9/10/2024 3:01:35 PM,,,,,,,,,,,,,,1,1,10,25,250,Brannfors,Brannfors,,,,,,True,
PIPN 08,9/10/2024 3:01:35 PM,1,1,1,L,,,23,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 08,9/10/2024 3:01:35 PM,2,1,1,L,,,7,1,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 08,9/10/2024 3:01:35 PM,3,1,1,L,,,17,2,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 02,6/5/2024 1:14:48 PM,,,,,,,,,,,,,,1,1,25,10,250,Tumicki; Westfahl,Tumicki,,,,,,True,
PIPN 02,6/5/2024 1:14:48 PM,1,1,1,L,,,4,0.6,1,,,,,,,,,,,,,,,,ABCO,,
PIPN 02,6/5/2024 1:14:48 PM,2,1,1,L,,,21,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 02,6/5/2024 1:14:48 PM,3,1,1,L,,,7,0.6,1,,,,,,,,,,,,,,,,POTR,,
PIPN 20,9/10/2024 3:04:26 PM,,,,,,,,,,,,,,1,1,10,25,250,Brannnfors,Gilmore,,,,,,True,
PIPN 20,9/10/2024 3:04:26 PM,1,1,1,L,,,5,0.6,1,,,,,,,,,,,,,,,,QUGA,,
PIPN 20,9/10/2024 3:04:26 PM,2,1,1,L,,,2,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 20,9/10/2024 3:04:26 PM,3,1,1,L,,,1,2,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 20,9/10/2024 3:04:26 PM,4,1,1,L,,,1,2,1,,,,,,,,,,,,,,,,POTR,,
PIPN 20,9/10/2024 3:04:26 PM,5,1,1,L,,,1,3,1,,,,,,,,,,,,,,,,POTR,,
PIPN 16,8/15/2024 3:10:25 PM,,,,,,,,,,,,,,1,1,10,25,250,Gilmore,Gilmore,,,,,,True,
PIPN 16,8/15/2024 3:10:25 PM,1,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 16,8/15/2024 3:10:25 PM,2,1,1,L,,,1,3,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 18,8/14/2024 3:12:51 PM,,,,,,,,,,,,,,1,1,10,25,250,Brannfors,Gilmore,,,,,,True,
PIPN 18,8/14/2024 3:12:51 PM,1,1,1,L,,,156,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 18,8/14/2024 3:12:51 PM,2,1,1,L,,,45,1,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 18,8/14/2024 3:12:51 PM,3,1,1,L,,,5,0.6,1,,,,,,,,,,,,,,,,POTR,,
PIPN 09,8/20/2024 3:07:39 PM,,,,,,,,,,,,,,1,1,10,25,250,Tumicki,Brannfors,,,,,,True,
PIPN 09,8/20/2024 3:07:39 PM,1,1,1,L,,,5,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 22,8/15/2024 3:16:02 PM,,,,,,,,,,,,,,1,1,10,25,250,Westfahl,Gilmore,,,,,,True,
PIPN 22,8/15/2024 3:16:02 PM,1,1,1,L,,,39,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 15,8/13/2024 3:09:06 PM,,,,,,,,,,,,,,1,1,10,25,250,Westfahl,Gilmore,No Seedlings,,,,,True,
PIPN 19,8/14/2024 3:13:57 PM,,,,,,,,,,,,,,1,1,10,25,250,Lalor,Gilmore,,,,,,True,
PIPN 19,8/14/2024 3:13:57 PM,1,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 17,8/14/2024 3:11:36 PM,,,,,,,,,,,,,,1,1,10,25,250,Tumicki,Gilmore,,,,,,True,
PIPN 17,8/14/2024 3:11:36 PM,1,1,1,L,,,2,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 21,8/13/2024 3:15:01 PM,,,,,,,,,,,,,,1,1,10,25,250,Tumicki,Gilmore,,,,,,True,
PIPN 21,8/13/2024 3:15:01 PM,1,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,POTR,,
PIPN 21,8/13/2024 3:15:01 PM,2,1,1,L,,,3,2,1,,,,,,,,,,,,,,,,POTR,,
PIPN 21,8/13/2024 3:15:01 PM,3,1,1,L,,,2,3,1,,,,,,,,,,,,,,,,POTR,,
PIPN 06,8/13/2024 3:05:45 PM,,,,,,,,,,,,,,1,1,10,25,250,Gilmore,Brannfors,,,,,,True,
