MacroPlot.Name,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIPN 01,6/5/2024 1:13:07 PM,,,,,,,,,,,,4,50,Lalor; Tumicki; Brannfors; Westfahl; Gilmore,Tumicki,,,,,True,
PIPN 01,6/5/2024 1:13:07 PM,1,1,14,1,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,2,1,14,2,3,3,PIPN,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,3,2,4,3,5.5,4,PIPN,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,4,3,12,4,5,4,PIPN,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,5,4,14,5,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,6,4,14,6,6,4,PIPN,,,,,,,,,,,,,,
PIPN 13,9/11/2024 3:02:58 PM,,,,,,,,,,,,4,50,Gilmore,Gilmore,,,,Bison-beefalo,True,
PIPN 13,9/11/2024 3:02:58 PM,1,1,6,1,3,3,PIPN,,,,,,,,,,,,,,
PIPN 13,9/11/2024 3:02:58 PM,2,1,6,2,7,4,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,,,,,,,,,,,,4,50,Tumicki,Brannfors,,,,,True,
PIPN 08,9/10/2024 3:01:35 PM,1,4,1,1,4,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,2,4,1,2,4.5,4,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,3,4,1,3,13,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,4,4,1,4,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,5,3,3,5,7.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,6,3,3,6,6,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,7,3,3,7,13,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,8,2,1,8,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,9,2,1,9,12,4,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,10,2,1,10,7.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,11,2,1,11,14,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,12,2,1,12,5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,13,2,1,13,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,14,2,1,14,4,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,15,1,10,15,6,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,16,1,10,16,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,,,,,,,,,,,,4,50,Lalor; Brannfors,Tumicki,,,,,True,
PIPN 02,6/5/2024 1:14:48 PM,1,1,12,1,11,3,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,2,1,12,2,3,3,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,3,1,12,3,5.5,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,4,2,10,4,4.5,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,5,2,10,5,3,3,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,6,2,10,6,3,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,7,2,10,7,6,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,8,2,10,8,4,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,9,3,12,9,6,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,10,3,12,10,3.5,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,11,3,12,11,10,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,12,4,5,12,5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,,,,,,,,,,,,4,50,Brannfors,Gilmore,,,,,True,
PIPN 20,9/10/2024 3:04:26 PM,1,1,4,1,4.5,4,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,2,1,4,2,4,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,3,1,4,3,11.5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,4,1,4,4,3,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,5,1,4,5,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,6,2,7,6,4,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,7,2,7,7,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,8,2,7,8,4,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,9,2,7,9,12,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,10,2,7,10,4,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,11,2,7,11,5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,12,2,7,12,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,13,2,7,13,3,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,14,2,7,14,4,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,15,2,7,15,3.5,4,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,16,2,7,16,8,4,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,17,3,1,17,6.5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,18,3,1,18,10.5,4,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,19,3,1,19,9.5,4,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,20,3,1,20,4,3,PIPN,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,,,,,,,,,,,,4,50,Tumicki,Gilmore,,,,,True,
PIPN 16,8/15/2024 3:10:25 PM,1,1,30,1,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,2,1,30,2,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,3,2,14,3,3.5,4,PIPN,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,4,2,14,4,8,4,PIPN,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,5,3,12,5,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,,,,,,,,,,,,4,50,Lalor,Gilmore,,,,,True,
PIPN 18,8/14/2024 3:12:51 PM,1,2,5,1,18.5,3,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,2,2,5,2,19.5,4,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,3,2,5,3,3,3,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,4,2,5,4,3,3,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,5,3,12,5,14,4,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,6,3,12,6,22,4,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,7,4,12,7,5.5,4,PIPN,,,,,,,,,,,,,,
PIPN 09,8/20/2024 3:07:39 PM,,,,,,,,,,,,4,50,Westfahl,Brannfors,,,,No CWD,True,
