MacroPlot.Name,Date,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIPN 01,6/5/2024 1:13:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,15,Brannfors; Westfahl; Tumicki; Lalor,Tumicki,,,,,,True,
PIPN 01,6/5/2024 1:13:07 PM,1,True,2,0.5,141,D,12.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,2,True,2,0.5,148,L,13.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,3,True,1,1,57,D,44.8,20.9,3,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABCO,,
PIPN 01,6/5/2024 1:13:07 PM,4,True,1,1,58,L,47.7,26.2,3,C,16.2,,,,,,,,,,,,,,,,,,,LIGT,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,5,True,1,1,59,D,19.7,16.4,,LBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,6,True,1,1,63,L,32.1,23,3,C,12.4,,,,,,,,,,,,,,,,,,,FIRE,,MISL,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,7,True,1,1,64,L,34.9,23.1,2,C,13.3,,,,,,,,,,,,,,,,,,,FORK,,FIRE,,MISL,,WOND,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,8,True,1,1,65,L,19.6,17.2,1,I,12.5,,,,,,,,,,,,,,,,,,,WOND,,MISL,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,9,True,1,1,66,L,43.9,24.2,3,C,15.9,,,,,,,,,,,,,,,,,,,LEAN,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,10,True,1,1,68,D,29.5,23,2,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,11,True,1,1,70,L,27.7,20.9,2,C,11.8,,,,,,,,,,,,,,,,,,,FORK,,FIRE,,LEAN,,MISL,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,12,True,1,1,71,L,38,23.8,3,C,15.7,,,,,,,,,,,,,,,,,,,SPAR,,FIRE,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,13,True,1,1,72,L,27.5,19.4,1,I,14.6,,,,,,,,,,,,,,,,,,,WOND,,MISL,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,14,True,1,1,73,L,42.3,26.4,4,C,15.5,,,,,,,,,,,,,,,,,,,CROK,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,15,True,1,1,74,L,44.2,29.1,3,C,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,16,True,1,1,75,D,32.3,21.3,3,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,17,True,2,1,77,L,49.3,23.3,5,C,11.4,,,,,,,,,,,,,,,,,,,MISL,,WOND,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,18,True,2,1,78,L,38.2,25,3,C,14.6,,,,,,,,,,,,,,,,,,,FIRE,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,19,True,2,1,79,L,41.2,24.9,3,C,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,20,True,2,1,80,D,41.2,27.3,2,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,21,True,2,1,81,L,48.1,26.8,3,C,11.9,,,,,,,,,,,,,,,,,,,FORK,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,22,True,2,1,82,L,31.7,24.3,4,C,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,23,True,2,1,83,L,32.6,22.2,3,C,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,24,True,2,1,85,L,31.7,21.5,3,C,12.6,,,,,,,,,,,,,,,,,,,FIRE,,INSE,,WOND,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,25,True,2,1,87,L,26.7,19.9,4,I,12.1,,,,,,,,,,,,,,,,,,,MISL,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,26,True,2,1,88,D,35.8,23.7,3,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,27,True,2,1,90,L,48.1,20.8,5,C,7.5,,,,,,,,,,,,,,,,,,,BROM,,MISL,,LEAN,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,28,True,2,1,92,D,16.2,15.3,2,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,29,True,3,1,94,L,52,26.4,3,C,7.9,,,,,,,,,,,,,,,,,,,WOND,,MISL,,BROM,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,30,True,3,1,95,L,41.2,25.3,3,C,10.7,,,,,,,,,,,,,,,,,,,MISL,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,31,True,3,1,96,D,,,2,DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,32,True,3,1,98,D,,,1,DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,33,True,3,1,99,L,60.5,28.6,3,D,10,,,,,,,,,,,,,,,,,,,MISL,,CROK,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,34,True,3,1,100,L,58.4,26.7,4,C,9.7,,,,,,,,,,,,,,,,,,,LEAN,,FORK,,MISL,,BROM,,WOND,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,35,True,4,1,2,L,76.4,29.7,4,D,12.3,,,,,,,,,,,,,,,,,,,MISL,,BROM,,FORK,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,36,True,4,1,3,L,53.5,27.3,4,C,14.3,,,,,,,,,,,,,,,,,,,MISL,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 01,6/5/2024 1:13:07 PM,37,True,4,1,4,L,28.8,20.5,2,I,11.7,,,,,,,,,,,,,,,,,,,MISL,,,,,,,,,,,,,,,,,,,,,,,PIPO,,
PIPN 13,9/11/2024 3:02:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,15,Brannfors; Gilmore; Tumicki,Gilmore,,,,,,True,
