MacroPlot.Name,Date,Index,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,MinCovLevel,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIPO 31,6/16/2024 12:56:58 PM,,,,,,,,,,,,,Hillyard; Gilmore; Lalor,Tumicki,,,,,,True,
PIPO 31,6/16/2024 12:56:58 PM,1,L,,,,,,,,,,,,,,,,,SPXX,,
PIPO 31,6/16/2024 12:56:58 PM,2,L,,,,,,,,,,,,,,,,,ELEL,,
PIPO 31,6/16/2024 12:56:58 PM,3,L,,,,,,,,,,,,,,,,,ERRA,,
PIPO 31,6/16/2024 12:56:58 PM,4,L,,,,,,,,,,,,,,,,,LAEU,,
PIPO 31,6/16/2024 12:56:58 PM,5,L,,,,,,,,,,,,,,,,,AXXX,,
PIPO 31,6/16/2024 12:56:58 PM,6,L,,,,,,,,,,,,,,,,,CHFE,,
PIPO 31,6/16/2024 12:56:58 PM,7,L,,,,,,,,,,,,,,,,,TRXX,,
PIPO 31,6/16/2024 12:56:58 PM,8,L,,,,,,,,,,,,,,,,,ESVI,,
PIPO 31,6/16/2024 12:56:58 PM,9,L,,,,,,,,,,,,,,,,,OPXX,,
PIPO 31,6/16/2024 12:56:58 PM,10,L,,,,,,,,,,,,,,,,,SCLI,,
PIPO 31,6/16/2024 12:56:58 PM,11,L,,,,,,,,,,,,,,,,,ASXX,,
PIPO 31,6/16/2024 12:56:58 PM,12,L,,,,,,,,,,,,,,,,,PUST,,
PIPO 31,6/16/2024 12:56:58 PM,13,L,,,,,,,,,,,,,,,,,PAMU,,
PIPO 31,6/16/2024 12:56:58 PM,14,L,,,,,,,,,,,,,,,,,THMO,,
PIPO 31,6/16/2024 12:56:58 PM,15,L,,,,,,,,,,,,,,,,,PHLO,,
PIPO 31,6/16/2024 12:56:58 PM,16,L,,,,,,,,,,,,,,,,,PELI,,
PIPO 31,6/16/2024 12:56:58 PM,17,L,,,,,,,,,,,,,,,,,GUSA,,
PIPO 31,6/16/2024 12:56:58 PM,18,L,,,,,,,,,,,,,,,,,ARTR,,
PIPO 31,6/16/2024 12:56:58 PM,19,L,,,,,,,,,,,,,,,,,KOMA,,
PIPO 31,6/16/2024 12:56:58 PM,20,L,,,,,,,,,,,,,,,,,ERDI,,
PIPO 31,6/16/2024 12:56:58 PM,21,L,,,,,,,,,,,,,,,,,BOGR,,
PIPO 36,6/15/2024 1:00:20 PM,,,,,,,,,,,,,Lalor; Tumicki,Tumicki,,,,,,True,
PIPO 36,6/15/2024 1:00:20 PM,1,L,,,,,,,,,,,,,,,,,THMO,,
PIPO 36,6/15/2024 1:00:20 PM,2,L,,,,,,,,,,,,,,,,,THFE,,
PIPO 36,6/15/2024 1:00:20 PM,3,L,,,,,,,,,,,,,,,,,ASXX,,
