MacroPlot.Name,Date,Index,Transect,Subbelt,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumSubbelt,TranLen,TranWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIPO 31,6/16/2024 12:56:58 PM,,,,,,,,,,,,,,2,,50,2,100,Brannfors; Tumicki,Tumicki,,,,,,True,
PIPO 31,6/16/2024 12:56:58 PM,1,1,9,L,,M,1,,1,,,,,,,,,,,,,,,,SYOR,,
PIPO 31,6/16/2024 12:56:58 PM,2,1,10,L,,M,1,,1,,,,,,,,,,,,,,,,SYOR,,
PIPO 31,6/16/2024 12:56:58 PM,3,1,10,L,,I,2,,1,,,,,,,,,,,,,,,,SYOR,,
PIPO 36,6/15/2024 1:00:20 PM,,,,,,,,,,,,,,2,,50,2,100,Gilmore; Brannfors ,Tumicki,,,,,,True,
PIPO 36,6/15/2024 1:00:20 PM,1,1,5,L,,M,1,,1,,,,,,,,,,,,,,,,SYOR,,
PIPO 36,6/15/2024 1:00:20 PM,2,1,6,L,,M,1,,1,,,,,,,,,,,,,,,,SYOR,,
PIPO 36,6/15/2024 1:00:20 PM,3,2,3,L,,M,1,,1,,,,,,,,,,,,,,,,ERNA,,
PIPO 30,6/15/2024 12:55:12 PM,,,,,,,,,,,,,,2,,50,2,100,Tumicki,Tumicki,,,,,,True,
PIPO 30,6/15/2024 12:55:12 PM,1,1,6,L,,I,2,,1,,,,,,,,,,,,,,,,SYOR,,
PIPO 30,6/15/2024 12:55:12 PM,2,1,8,L,,M,2,,1,,,,,,,,,,,,,,,,SYOR,,
PIPO 30,6/15/2024 12:55:12 PM,3,2,8,L,,M,1,,1,,,,,,,,,,,,,,,,SYOR,,
PIPO 30,6/15/2024 12:55:12 PM,4,2,7,L,,I,1,,1,,,,,,,,,,,,,,,,SYOR,,
PIPO 30,6/15/2024 12:55:12 PM,5,2,4,L,,I,1,,1,,,,,,,,,,,,,,,,SYOR,,
PIPO 30,6/15/2024 12:55:12 PM,6,2,2,L,,I,1,,1,,,,,,,,,,,,,,,,SYOR,,
PIPO 39,6/16/2024 1:03:37 PM,,,,,,,,,,,,,,2,,50,2,,Tumicki,Tumicki,,,,,,True,
PIPO 39,6/16/2024 1:03:37 PM,1,1,8,L,,M,6,,1,,,,,,,,,,,,,,,,MARE,,
PIPO 39,6/16/2024 1:03:37 PM,2,1,8,L,,I,27,,1,,,,,,,,,,,,,,,,MARE,,
PIPO 39,6/16/2024 1:03:37 PM,3,2,8,L,,M,1,,1,,,,,,,,,,,,,,,,MARE,,
PIPO 39,6/16/2024 1:03:37 PM,4,2,8,L,,I,4,,1,,,,,,,,,,,,,,,,MARE,,
PIPO 33,6/14/2024 12:58:42 PM,,,,,,,,,,,,,,2,,50,2,100,Brannfors,Tumicki,,,,,,True,
PIPO 33,6/14/2024 12:58:42 PM,1,1,1,L,,M,4,,1,,,,,,,,,,,,,,,,CHDE,,
PIPO 33,6/14/2024 12:58:42 PM,2,1,7,L,,M,2,,1,,,,,,,,,,,,,,,,CHDE,,
PIPO 33,6/14/2024 12:58:42 PM,3,1,8,L,,M,2,,1,,,,,,,,,,,,,,,,CHDE,,
PIPO 33,6/14/2024 12:58:42 PM,4,1,8,L,,I,1,,1,,,,,,,,,,,,,,,,CHDE,,
PIPO 33,6/14/2024 12:58:42 PM,5,1,9,L,,M,1,,1,,,,,,,,,,,,,,,,CHDE,,
PIPO 33,6/14/2024 12:58:42 PM,6,1,9,L,,I,1,,1,,,,,,,,,,,,,,,,CHDE,,
PIPO 33,6/14/2024 12:58:42 PM,7,2,8,L,,M,1,,1,,,,,,,,,,,,,,,,GUSA,,
PIPO 33,6/14/2024 12:58:42 PM,8,2,1,L,,M,1,,1,,,,,,,,,,,,,,,,PUST,,
PIPO 33,6/14/2024 12:58:42 PM,9,2,1,L,,M,2,,1,,,,,,,,,,,,,,,,GUSA,,
PIPO 33,6/14/2024 12:58:42 PM,10,2,1,L,,M,3,,1,,,,,,,,,,,,,,,,ERNA,,
PIPO 29,6/14/2024 12:43:28 PM,,,,,,,,,,,,,,2,,50,2,100,Lalor,Tumicki,,,,,,True,
PIPO 37,6/16/2024 1:02:01 PM,,,,,,,,,,,,,,2,,50,2,100,Lalor; Hillyard,Tumicki,,,,,,True,
PIPO 37,6/16/2024 1:02:01 PM,1,2,1,L,,M,1,,1,,,,,,,,,,,,,,,,MARE,,
PIPO 37,6/16/2024 1:02:01 PM,2,2,7,L,,M,2,,1,,,,,,,,,,,,,,,,ERNA,,
