MacroPlot.Name,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIPO 31,6/16/2024 12:56:58 PM,,,,,,,,,,,,4,100,Tumicki; Brannfors,Tumicki,,,,,True,
PIPO 31,6/16/2024 12:56:58 PM,1,2,3,1,4,4,PIPO,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,2,3,2,2,5.5,3,PIPO,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,3,4,1,3,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,4,4,1,4,6,3,PIPO,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,5,4,1,5,5,3,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,,,,,,,,,,,,4,100,Gilmore; Brannfors,Tumicki,,,,,True,
PIPO 36,6/15/2024 1:00:20 PM,1,1,8,1,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,2,1,8,2,3,3,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,3,2,6,3,10,3,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,4,2,6,4,4,3,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,5,3,8,5,3,3,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,6,4,5,6,7,4,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,7,4,5,7,3,4,PIPO,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,,,,,,,,,,,,4,100,Brannfors,Tumicki,,,,,True,
PIPO 30,6/15/2024 12:55:12 PM,1,1,4,1,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,2,1,4,2,6,4,PIPO,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,3,2,3,3,7,3,PIPO,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,4,4,2,4,4,3,PIPO,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,5,4,2,5,5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,,,,,,,,,,,,4,100,Lalor; Hillyard,Tumicki,,,,,True,
PIPO 39,6/16/2024 1:03:37 PM,1,1,3,1,4,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,2,1,3,2,5,4,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,3,1,3,3,11.5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,4,1,3,4,5.5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,5,1,3,5,10,4,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,6,1,3,6,8.5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,7,1,3,7,3.5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,8,1,3,8,7,4,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,9,3,3,9,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,,,,,,,,,,,,4,100,Tumicki; Lalor,Tumicki,,,,,True,
PIPO 33,6/14/2024 12:58:42 PM,1,1,3,1,3,4,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,2,1,3,2,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,3,3,3,3,3.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,4,3,3,4,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,5,3,3,5,3.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,6,3,3,6,16.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,7,3,3,7,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,8,4,0,8,4.5,4,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,9,4,0,9,3,4,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,,,,,,,,,,,,4,100,Garber; Gilmore; Brannfors,Tumicki,,,,,True,
PIPO 29,6/14/2024 12:43:28 PM,1,1,0,1,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,2,1,0,2,5,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,3,2,4,3,17,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,4,2,4,4,3,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,5,3,3,5,10,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,6,3,3,6,4,3,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,,,,,,,,,,,,4,100,Lalor; Hillyard,Tumicki,,,,,True,
PIPO 37,6/16/2024 1:02:01 PM,1,1,11,1,12.5,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,2,1,11,2,4,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,3,2,3,3,10.5,3,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,4,2,3,4,4,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,5,2,3,5,3,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,6,2,3,6,3,3,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,7,2,3,7,3.5,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,8,2,3,8,3,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,9,2,3,9,3,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,10,2,3,10,3.5,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,11,2,3,11,3.5,3,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,12,2,3,12,14.5,3,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,13,3,4,13,6,3,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,14,3,4,14,9.5,4,PIPO,,,,,,,,,,,,,,
