MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIAB 20,01Post,10/4/2001 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIAB 20,01Post,10/4/2001 12:00:00 AM,1,1,2,,6.5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,2,1,2,,6.5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,3,1,2,,3.4,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,4,1,2,,6,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,5,1,2,,4,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,6,1,2,,6,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,7,2,2,,3.1,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,8,2,2,,4,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,9,3,2,,4,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,10,4,6,,6,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,11,4,6,,4,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIAB 20,01Year1,8/19/2002 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIAB 20,01Year1,8/19/2002 12:00:00 AM,1,1,2,,5.5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Year1,8/19/2002 12:00:00 AM,2,1,2,,3.1,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Year1,8/19/2002 12:00:00 AM,3,1,2,,6.5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Year1,8/19/2002 12:00:00 AM,4,1,2,,3.5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Year1,8/19/2002 12:00:00 AM,5,2,2,,4,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIAB 20,01Year1,8/19/2002 12:00:00 AM,6,3,2,,3.5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
PIAB 20,01Year1,8/19/2002 12:00:00 AM,7,4,6,,4,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIAB 20,01Year1,8/19/2002 12:00:00 AM,8,4,6,,4,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIAB 20,01Year1,8/19/2002 12:00:00 AM,9,4,6,,5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIAB 20,01Year2,6/24/2003 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIAB 20,01Year2,6/24/2003 12:00:00 AM,1,1,2,,4,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Year2,6/24/2003 12:00:00 AM,2,1,2,,5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Year2,6/24/2003 12:00:00 AM,3,1,2,,3.5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Year2,6/24/2003 12:00:00 AM,4,1,2,,3.5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Year2,6/24/2003 12:00:00 AM,5,1,2,,5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Year2,6/24/2003 12:00:00 AM,6,1,2,,6,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Year2,6/24/2003 12:00:00 AM,7,1,2,,4.5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Year2,6/24/2003 12:00:00 AM,8,1,2,,6.5,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIAB 20,01Year2,6/24/2003 12:00:00 AM,9,2,2,,4,3,PIAB,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
