MacroPlot.Name,Monitoring.Status,Date,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIAB 20,01Post,10/4/2001 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,15,,,,,,,,True,
PIAB 20,01Post,10/4/2001 12:00:00 AM,1,True,1,0.5,179,L,3,3,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,ABCO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,2,True,1,0.5,180,L,4.8,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIPO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,3,True,1,0.5,181,L,9.9,5,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,ABCO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,4,True,1,0.5,182,L,3.7,3,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,ABCO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,5,True,1,0.5,183,L,4.9,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,ABCO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,6,True,1,0.5,187,L,10.9,9,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,ABCO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,7,True,2,0.5,188,L,6.1,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq2_ALL,,,,,,,,,,ABCO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,8,True,2,0.5,189,D,12.5,6,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq2_ALL,,,,,,,,,,ABCO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,9,True,2,0.5,190,L,13.4,9,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq2_ALL,,,,,,,,,,ABCO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,10,True,2,0.5,191,L,8,6,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq2_ALL,,,,,,,,,,ABCO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,11,True,2,0.5,193,L,8.4,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq2_ALL,,,,,,,,,,ABCO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,12,True,2,0.5,194,L,9.5,8,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq2_ALL,,,,,,,,,,ABCO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,13,True,2,0.5,198,L,10.6,7,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq2_ALL,,,,,,,,,,ABCO,,
PIAB 20,01Post,10/4/2001 12:00:00 AM,14,True,2,0.5,199,L,13.5,10,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq2_ALL,,,,,,,,,,ABCO,,
