MacroPlot.Name,Monitoring.Status,Date,Index,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,MinCovLevel,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIED 14,02Pre,9/10/2023 11:42:56 PM,,,,,,,,,,,,,Lakin,Brannfors,,,,,,True,
PIED 14,02Pre,9/10/2023 11:42:56 PM,1,L,,,,,,,,,,,,,,,,,SOXX,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,2,L,,,,,,,,,,,,,,,,,MARE,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,3,L,,,,,,,,,,,,,,,,,TAOF,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,4,L,,,,,,,,,,,,,,,,,OPXX,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,5,L,,,,,,,,,,,,,,,,,SPXX,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,6,L,,,,,,,,,,,,,,,,,CAXX2,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,7,L,,,,,,,,,,,,,,,,,TOEX,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,8,L,,,,,,,,,,,,,,,,,ERRA,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,9,L,,,,,,,,,,,,,,,,,PAMU,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,10,L,,,,,,,,,,,,,,,,,SISC,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,11,L,,,,,,,,,,,,,,,,,ERXX2,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,12,L,,,,,,,,,,,,,,,,,ELEL,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,13,L,,,,,,,,,,,,,,,,,HYFI,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,14,L,,,,,,,,,,,,,,,,,LOWR,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,15,L,,,,,,,,,,,,,,,,,ASXX,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,16,L,,,,,,,,,,,,,,,,,ASAS,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,17,L,,,,,,,,,,,,,,,,,CHER,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,18,L,,,,,,,,,,,,,,,,,ASXX-A,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,19,L,,,,,,,,,,,,,,,,,COAU,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,20,L,,,,,,,,,,,,,,,,,QUGA,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,21,L,,,,,,,,,,,,,,,,,CIXX,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,22,L,,,,,,,,,,,,,,,,,LASE,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,23,L,,,,,,,,,,,,,,,,,LEIN,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,24,L,,,,,,,,,,,,,,,,,PELI,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,25,L,,,,,,,,,,,,,,,,,HIFE,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,26,L,,,,,,,,,,,,,,,,,CHXX,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,27,L,,,,,,,,,,,,,,,,,HEVI,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,28,L,,,,,Muhlenbergia wrightii,,,,,,,,,,,,MUWR,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,29,L,,,,,Sanvitalia abertii,,,,,,,,,,,,SAAB,,
PIED 01,02Pre,9/14/2023 4:03:03 PM,,,,,,,,,,,,,Brannfors,Brannfors,,,,,,True,
PIED 01,02Pre,9/14/2023 4:03:03 PM,1,L,,,,,Portulaca oleracea,,,,,,,,,,,,POOL,,
PIED 01,02Pre,9/14/2023 4:03:03 PM,2,L,,,,,,,,,,,,,,,,,PODO,,
