MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Subbelt,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumSubbelt,TranLen,TranWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIED 14,01Post,10/2/1993 12:00:00 AM,,,,,,,,,,,,,,1,,50,2,100,,,,,,,,True,
PIED 14,01Post,10/2/1993 12:00:00 AM,1,1,5,L,,R,10,0,1,From FMH BELT 1061,Resprout Live,, shrbq4_ALL,,,,,,,,,,,,ARTR,,
PIED 14,01Post,10/2/1993 12:00:00 AM,2,1,6,L,,M,6,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,MARE,,
PIED 14,01Post,10/2/1993 12:00:00 AM,3,1,6,L,,R,75,0,1,From FMH BELT 1061,Resprout Live,, shrbq4_ALL,,,,,,,,,,,,ARTR,,
PIED 14,01Post,10/2/1993 12:00:00 AM,4,1,6,L,,M,8,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,GUSA,,
PIED 14,01Post,10/2/1993 12:00:00 AM,5,1,7,L,,R,20,0,1,From FMH BELT 1061,Resprout Live,, shrbq4_ALL,,,,,,,,,,,,ARTR,,
PIED 14,01Post,10/2/1993 12:00:00 AM,6,1,7,L,,M,6,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,CHMI,,
PIED 14,01Post,10/2/1993 12:00:00 AM,7,1,7,D,,M,1,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,GUSA,,
PIED 14,01Post,10/2/1993 12:00:00 AM,8,1,7,L,,M,7,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,GUSA,,
PIED 14,01Post,10/2/1993 12:00:00 AM,9,1,8,L,,M,3,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,ARTR,,
PIED 14,01Post,10/2/1993 12:00:00 AM,10,1,8,L,,M,2,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,GUSA,,
PIED 14,01Post,10/2/1993 12:00:00 AM,11,1,9,D,,M,1,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,ARTR,,
PIED 14,01Post,10/2/1993 12:00:00 AM,12,1,9,L,,R,8,0,1,From FMH BELT 1061,Resprout Live,, shrbq4_ALL,,,,,,,,,,,,ARTR,,
PIED 14,01Post,10/2/1993 12:00:00 AM,13,1,9,L,,M,1,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,ARTR,,
PIED 14,01Post,10/2/1993 12:00:00 AM,14,1,9,L,,M,18,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,GUSA,,
