MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIED 14,01Post,10/2/1993 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIED 14,01Post,10/2/1993 12:00:00 AM,1,1,1,L,,X,126,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Post,10/2/1993 12:00:00 AM,2,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIED 14,01Post,10/2/1993 12:00:00 AM,3,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIED 14,01Post,10/2/1993 12:00:00 AM,4,1,1,L,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIED 14,01Post,10/2/1993 12:00:00 AM,5,1,1,L,,X,2,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIED 14,01Year1,7/10/1994 12:00:00 AM,1,1,1,L,,X,4,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,2,1,1,L,,X,2,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,3,1,1,L,,X,10,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,4,1,1,L,,X,3,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,5,1,1,L,,X,10,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,6,1,1,L,,X,8,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,7,1,1,L,,X,6,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,8,1,1,L,,X,25,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,9,1,1,L,,X,2,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,10,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,11,1,1,L,,X,2,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,12,1,1,D,,X,4,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,13,1,1,L,,X,6,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
