MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIED 14,01Post,10/2/1993 12:00:00 AM,,,,,,,,,,,,4,100,,,,,,,True,
PIED 14,01Post,10/2/1993 12:00:00 AM,1,1,1,,8,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIED 14,01Post,10/2/1993 12:00:00 AM,2,2,0,,3.5,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIED 14,01Post,10/2/1993 12:00:00 AM,3,2,0,,4,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,,,,,,,,,,,,4,100,,,,,,,True,
PIED 14,01Year1,7/10/1994 12:00:00 AM,1,1,1,,3.5,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,2,2,0,,4,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIED 14,01Year2,7/6/1995 12:00:00 AM,,,,,,,,,,,,4,100,,,,,,,True,
PIED 14,01Year2,7/6/1995 12:00:00 AM,1,1,1,,4,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIED 14,01Year2,7/6/1995 12:00:00 AM,2,2,0,,9,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIED 14,01Year2,7/6/1995 12:00:00 AM,3,2,0,,3.2,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIED 14,01Year2,7/6/1995 12:00:00 AM,4,3,2,,4.5,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIED 14,01Year2,7/6/1995 12:00:00 AM,5,3,2,,5.2,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIED 14,01Year2,7/6/1995 12:00:00 AM,6,3,2,,5.5,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,,,,,,,,,,,,4,100,Cierley,Brannfors,,,,,True,
PIED 14,02Pre,9/10/2023 11:42:56 PM,1,2,0,1,3.5,3,PIED,,,,,,,,,,,,,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,2,2,0,2,3.5,4,PIED,,,,,,,,,,,,,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,3,2,0,3,7.5,4,PIED,,,,,,,,,,,,,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,4,3,2,4,3.5,4,PIED,,,,,,,,,,,,,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,5,3,2,5,5,4,PIED,,,,,,,,,,,,,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,6,4,0,6,4,4,PIED,,,,,,,,,,,,,,
PIED 14,Pre,7/27/1993 12:00:00 AM,,,,,,,,,,,,4,100,,,,,,,True,
PIED 14,Pre,7/27/1993 12:00:00 AM,1,1,1,,6,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIED 14,Pre,7/27/1993 12:00:00 AM,2,2,0,,8,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIED 14,Pre,7/27/1993 12:00:00 AM,3,2,0,,3.5,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIED 14,Pre,7/27/1993 12:00:00 AM,4,3,2,,13,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIED 01,01Post,7/21/1992 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIED 01,01Post,7/21/1992 12:00:00 AM,1,1,4,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
PIED 01,01Year1,6/16/1993 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
