MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIED 14,01Post,10/2/1993 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 14,01Post,10/2/1993 12:00:00 AM,1,1,259,1,0,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 14,01Post,10/2/1993 12:00:00 AM,2,2,120,0,0,1,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 14,01Post,10/2/1993 12:00:00 AM,3,3,4,2,2,2,2,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 14,01Post,10/2/1993 12:00:00 AM,4,4,74,0,2,0,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 14,01Year1,7/10/1994 12:00:00 AM,1,1,259,1,0,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,2,2,120,0,1,0,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,3,3,4,2,0,0,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 14,01Year1,7/10/1994 12:00:00 AM,4,4,74,0,13,0,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 14,01Year2,7/6/1995 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 14,01Year2,7/6/1995 12:00:00 AM,1,1,259,1,1,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 14,01Year2,7/6/1995 12:00:00 AM,2,2,120,0,1,0,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 14,01Year2,7/6/1995 12:00:00 AM,3,3,4,2,0,1,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 14,01Year2,7/6/1995 12:00:00 AM,4,4,74,0,4,0,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,,,,,,,,,,,,,4,6,6,12,Cierley,Brannfors,,,,,True,
PIED 14,02Pre,9/10/2023 11:42:56 PM,1,1,259,1,4,0,0,PIED,L of JUOS #16 @26ft; R of PIPO @57ft; L of JUOS @72ft,,,,,,,,,,,,,,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,2,2,120,0,2,0,0,PIED,Crosses Q3-Q4 @15.3m,,,,,,,,,,,,,,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,3,3,4,2,6,7,0,PIED,R of PIPO @6ft; L of PIED @42ft ,,,,,,,,,,,,,,,
PIED 14,02Pre,9/10/2023 11:42:56 PM,4,4,74,0,7,3,0,PIED,L of JUOS @22ft; 4B in front of base of large downed log,,,,,,,,,,,,,,,
PIED 14,Pre,7/27/1993 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 14,Pre,7/27/1993 12:00:00 AM,1,1,259,1,7,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 14,Pre,7/27/1993 12:00:00 AM,2,2,120,0,2,0,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 14,Pre,7/27/1993 12:00:00 AM,3,3,4,2,0,0,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 14,Pre,7/27/1993 12:00:00 AM,4,4,74,0,8,2,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 01,01Post,7/21/1992 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 01,01Post,7/21/1992 12:00:00 AM,1,1,70,0,9,10,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 01,01Post,7/21/1992 12:00:00 AM,2,2,42,4,18,9,1,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 01,01Post,7/21/1992 12:00:00 AM,3,3,321,4,6,7,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 01,01Post,7/21/1992 12:00:00 AM,4,4,275,0,16,14,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 01,01Year1,6/16/1993 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 01,01Year1,6/16/1993 12:00:00 AM,1,1,70,0,15,5,1,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 01,01Year1,6/16/1993 12:00:00 AM,2,2,42,4,39,4,4,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 01,01Year1,6/16/1993 12:00:00 AM,3,3,321,4,19,4,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 01,01Year1,6/16/1993 12:00:00 AM,4,4,275,0,23,11,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 01,01Year2,5/19/1994 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 01,01Year2,5/19/1994 12:00:00 AM,1,1,70,0,15,4,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 01,01Year2,5/19/1994 12:00:00 AM,2,2,42,4,11,3,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 01,01Year2,5/19/1994 12:00:00 AM,3,3,321,4,3,5,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 01,01Year2,5/19/1994 12:00:00 AM,4,4,275,0,10,9,1,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 01,01Year5,6/13/1997 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 01,01Year5,6/13/1997 12:00:00 AM,1,1,70,0,14,4,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 01,01Year5,6/13/1997 12:00:00 AM,2,2,42,4,53,7,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 01,01Year5,6/13/1997 12:00:00 AM,3,3,321,4,8,2,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 01,01Year5,6/13/1997 12:00:00 AM,4,4,275,0,43,8,1,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 01,02Pre,9/14/2023 4:03:03 PM,,,,,,,,,,,,,4,6,6,12,Cierley,Brannfors,,,,,True,
PIED 01,02Pre,9/14/2023 4:03:03 PM,1,1,70,1,17,2,0,PIED,L of JUOS #45 @7'; R of JUOS #44 @36'; 1B is 1.5m to R of PIPO; L of PIED 76',,,,,,,,,,,,,,,
PIED 01,02Pre,9/14/2023 4:03:03 PM,2,2,42,4,11,2,0,PIED,R of PIED #37 @3'; 2B is 4' to L of 0P-50P; R of PIED @ 63',,,,,,,,,,,,,,,
PIED 01,02Pre,9/14/2023 4:03:03 PM,3,3,321,4,13,3,1,PIED,L of PIPO @36'; R of PIED @ 72',,,,,,,,,,,,,,,
PIED 01,02Pre,9/14/2023 4:03:03 PM,4,4,275,1,36,12,1,PIED,Through JUOS #14 @3'; 4B is 2m to R of Q2; R of JUOS @54'; L of PIED @66'; L of JUOS @83' ,,,,,,,,,,,,,,,
PIED 01,Pre,5/24/1991 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 01,Pre,5/24/1991 12:00:00 AM,1,1,70,0,7,5,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 01,Pre,5/24/1991 12:00:00 AM,2,2,42,4,6,3,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 01,Pre,5/24/1991 12:00:00 AM,3,3,321,4,4,4,1,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 01,Pre,5/24/1991 12:00:00 AM,4,4,275,0,6,25,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 12,01Post,7/19/1992 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 12,01Post,7/19/1992 12:00:00 AM,1,1,171,5,0,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 12,01Post,7/19/1992 12:00:00 AM,2,2,312,8,3,3,1,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 12,01Post,7/19/1992 12:00:00 AM,3,3,130,4,2,0,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 12,01Post,7/19/1992 12:00:00 AM,4,4,76,3,0,2,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
