MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Subbelt,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumSubbelt,TranLen,TranWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIEN 04,01Year1,7/11/2018 10:03:31 AM,,,,,,,,,,,,,,2,,50,2,100,MURDOCH; DANG,DANG,,,,,,True,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483648,1,3,L,,I,2,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483647,1,4,L,,M,4,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483645,1,9,L,,I,1,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483644,2,9,L,,M,1,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483643,2,8,L,,M,5,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483642,2,7,L,,M,13,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483641,2,7,L,,M,4,,1,,,,,,,,,,,,,,,,JUCO,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483640,2,5,L,,I,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483639,2,4,L,,I,5,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483638,2,3,L,,M,6,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483637,2,3,L,,I,4,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483636,2,2,L,,I,7,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483635,1,4,L,,I,4,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,,,,,,,,,,,,,,2,,50,2,100,BRANNFORS;  KLEIN,RIOS,,,,,,True,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483648,1,2,L,,M,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483647,1,3,L,,M,3,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483646,1,4,L,,I,5,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483645,1,4,L,,M,4,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483644,1,4,L,,I,5,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483643,1,9,L,,M,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483642,1,9,L,,I,3,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483641,1,9,L,,M,1,,1,,,,,,,,,,,,,,,,RUID,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483640,2,9,L,,M,3,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483639,2,8,L,,M,5,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483638,2,7,L,,M,5,,1,,,,,,,,,,,,,,,,JUCO,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483637,2,7,L,,M,12,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483636,2,7,L,,I,10,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483635,2,6,L,,M,5,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483634,2,6,L,,I,3,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483633,2,6,L,,I,3,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483632,2,5,L,,M,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483631,2,4,L,,M,2,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483630,2,4,L,,I,2,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483629,2,4,L,,M,2,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483628,2,3,L,,I,4,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483627,2,3,L,,M,16,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483626,2,2,L,,I,2,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483625,2,1,L,,M,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,,,,,,,,,,,,,,2,,50,2,100,Brannfors,Coppe,,,,,,True,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,1,1,2,L,,M,1,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,2,1,3,L,,M,2,,1,,,,,,,,,,,,,,,,CEFE,,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,3,1,3,L,,M,5,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,4,1,4,L,,M,2,,1,,,,,,,,,,,,,,,,MARE,,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,5,1,4,L,,M,5,,1,,,,,,,,,,,,,,,,RUID,,
