MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIEN 04,01Year1,7/11/2018 10:03:31 AM,,,,,,,,,,,,,,1,1,5,10,50,MURDOCH; DANG,DANG,,,,,,True,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483648,1,1,L,,,19,0.6,1,,,,,,,,,,,,,,,,POTR,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483647,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,POTR,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483646,1,1,L,,,3,2,1,,,,,,,,,,,,,,,,POTR,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,,,,,,,,,,,,,,1,1,5,10,50,BRANNFORS; KLEIN,RIOS,,,,,,True,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483648,1,1,L,,,21,0.6,1,,,,,,,,,,,,,,,,POTR,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483647,1,1,L,,,20,1,1,,,,,,,,,,,,,,,,POTR,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483646,1,1,L,,,13,2,1,,,,,,,,,,,,,,,,POTR,,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,,,,,,,,,,,,,,1,1,5,10,50,Brannfors; Coppe,Coppe,,,,,,True,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,1,1,1,L,,,20,0.6,1,,,,,,,,,,,,,,,,POTR,,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,2,1,1,L,,,5,1,1,,,,,,,,,,,,,,,,POTR,,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,3,1,1,L,,,10,2,1,,,,,,,,,,,,,,,,POTR,,
PIEN 04,PR01,7/20/1994 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
PIEN 04,PR01,7/20/1994 12:00:00 AM,1,1,1,L,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,,
PIEN 04,PR01,7/20/1994 12:00:00 AM,2,1,1,L,,X,2,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,,
PIEN 04,PR01,7/20/1994 12:00:00 AM,3,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,,
PIEN 04,PR01,7/20/1994 12:00:00 AM,4,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,,
PIEN 04,PR01,7/20/1994 12:00:00 AM,5,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,,
PIEN 04,PR01,7/20/1994 12:00:00 AM,6,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,,
