MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIEN 04,01Post,11/19/2017 3:38:01 PM,,,,,,,,,,,,,4,6,6,12,Brannfors,McClure,,,,,True,
PIEN 04,01Post,11/19/2017 3:38:01 PM,-2147483648,1,310,4,9,10,0,PIEN,R of POTR @ 4'; L of PIEN @ 25'; R of ABCO @ 49',,,,,,,,,,,,,,,
PIEN 04,01Post,11/19/2017 3:38:01 PM,-2147483647,2,46,9,2,0,1,PIEN,L of lil' ABCO @ 7'; R of POTR @ 18',,,,,,,,,,,,,,,
PIEN 04,01Post,11/19/2017 3:38:01 PM,-2147483646,3,336,8,5,4,0,PIEN,Btwn ABCO poles @ 12'; R of ABCO #177 @29'; L of snag #18 @ 49',,,,,,,,,,,,,,,
PIEN 04,01Post,11/19/2017 3:38:01 PM,-2147483645,4,78,4,6,4,2,PIEN,Under death snag @ 10'; L of ABCO #25 @ 50',,,,,,,,,,,,,,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,,,,,,,,,,,,,4,6,6,12,MURDOCH; DANG,DANG,,,,,True,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483648,1,310,4,31,6,0,PIEN,R of POTR @ 4'; L of PIEN @ 25'; R of ABCO @ 49',,,,,,,,,,,,,,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483647,2,46,9,5,0,0,PIEN,L of lil' ABCO @ 7'; R of POTR @ 18',,,,,,,,,,,,,,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483646,3,336,8,10,2,0,PIEN,Btwn ABCO poles @ 12'; R of ABCO #177 @29'; L of snag #18 @ 49',,,,,,,,,,,,,,,
PIEN 04,01Year1,7/11/2018 10:03:31 AM,-2147483645,4,78,4,26,3,2,PIEN,L of ABCO #25 @ 50',,,,,,,,,,,,,,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,,,,,,,,,,,,,4,6,6,12,KLEIN,RIOS,,,,,True,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483648,1,310,4,11,4,1,PIEN,R of POTR @ 4'; L of PIEN @ 25'; R of ABCO @ 49',,,,,,,,,,,,,,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483647,2,46,9,5,3,0,PIEN,L of lil' ABCO @ 7'; R of POTR @ 18',,,,,,,,,,,,,,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483646,3,336,8,1,3,0,PIEN,Btwn ABCO poles @ 12'; R of ABCO #177 @ 29'; L of snag # 18 @ 49',,,,,,,,,,,,,,,
PIEN 04,01Year2,8/26/2019 3:58:53 PM,-2147483645,4,78,4,11,5,2,PIEN,L of ABCO #25 @ 50',,,,,,,,,,,,,,,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,,,,,,,,,,,,,4,6,6,12,Brannfors,Coppe,,,,,True,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,1,1,310,4,5,5,1,PIEN,R of POTR @ 4'; L of PIEN @ 25'; R of ABCO @ 49',,,,,,,,,,,,,,,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,2,2,46,9,10,6,2,PIEN,R of POTR snag @ 18'; 2B under log,,,,,,,,,,,,,,,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,3,3,336,8,6,2,0,PIEN,Btwn ABCO poles @ 12; L of snag # 18 @ 49',,,,,,,,,,,,,,,
PIEN 04,01Year5,7/27/2022 6:00:52 PM,4,4,78,4,3,3,1,PIEN,Btwn POTR 111 and 112 @18; L of ABCO #25 @ 50',,,,,,,,,,,,,,,
PIEN 04,PR01,7/20/1994 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
