MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Subbelt,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumSubbelt,TranLen,TranWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIPN 10,01Post,5/20/1999 12:00:00 AM,,,,,,,,,,,,,,2,,50,2,100,,,,,,,,True,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1,1,6,L,,M,1,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,ERNA,,
PIPN 10,01Year1,7/8/1999 12:00:00 AM,,,,,,,,,,,,,,2,,50,2,100,,,,,,,,True,
PIPN 10,01Year1,7/8/1999 12:00:00 AM,1,1,6,L,,M,1,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,ERNA,,
PIPN 10,01Year2,6/23/2000 12:00:00 AM,,,,,,,,,,,,,,2,,50,2,100,,,,,,,,True,
PIPN 10,01Year2,6/23/2000 12:00:00 AM,1,1,6,L,,M,1,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,CEFE,,
PIPN 10,01Year2,6/23/2000 12:00:00 AM,2,2,8,L,,M,4,0,1,From FMH BELT 1061,,, shrbq3_ALL,,,,,,,,,,,,CEFE,,
PIPN 10,01Year5,7/3/2003 12:00:00 AM,,,,,,,,,,,,,,2,,50,2,100,,,,,,,,True,
PIPN 10,01Year5,7/3/2003 12:00:00 AM,1,1,6,L,,M,1,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,ERNA,,
PIPN 10,01Year5,7/3/2003 12:00:00 AM,2,2,8,L,,M,1,0,1,From FMH BELT 1061,,, shrbq3_ALL,,,,,,,,,,,,ERNA,,
PIPN 10,02Post,10/17/2005 12:00:00 AM,,,,,,,,,,,,,,2,,50,2,100,,,,,,,,True,
PIPN 10,02Year1,7/26/2006 12:00:00 AM,,,,,,,,,,,,,,2,,50,2,100,,,,,,,,True,
PIPN 10,02Year1,7/26/2006 12:00:00 AM,1,1,6,L,,I,1,0,1,From FMH BELT 1061,,, shrbq4_ALL,,,,,,,,,,,,ERNA,,
PIPN 10,02Year10,6/11/2015 3:55:10 PM,,,,,,,,,,,,,,2,,50,2,100,BRANNFORS,KOEHLER,,,,,,True,
PIPN 10,02Year10,6/11/2015 3:55:10 PM,-2147483648,1,6,L,,M,1,,1,,,,,,,,,,,,,,,,ERNA,,
PIPN 10,02Year10,6/11/2015 3:55:10 PM,-2147483647,2,1,L,,I,1,,1,,,,,,,,,,,,,,,,ERNA,,
PIPN 10,02Year10,6/11/2015 3:55:10 PM,-2147483646,2,3,L,,I,1,,1,,,,,,,,,,,,,,,,ERNA,,
PIPN 10,02Year10,6/11/2015 3:55:10 PM,-2147483645,2,8,L,,M,1,,1,,,,,,,,,,,,,,,,ERNA,,
