MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIPN 10,01Post,5/20/1999 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPN 10,01Year1,7/8/1999 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPN 10,01Year1,7/8/1999 12:00:00 AM,1,1,1,L,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPN 10,01Year2,6/23/2000 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPN 10,01Year2,6/23/2000 12:00:00 AM,1,1,1,L,,X,4,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPN 10,01Year5,7/3/2003 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPN 10,01Year5,7/3/2003 12:00:00 AM,1,1,1,L,,X,3,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPN 10,02Post,10/17/2005 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPN 10,02Post,10/17/2005 12:00:00 AM,1,1,1,D,,X,1,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPN 10,02Post,10/17/2005 12:00:00 AM,2,1,1,L,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPN 10,02Post,10/17/2005 12:00:00 AM,3,1,1,D,,X,2,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPN 10,02Year1,7/26/2006 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPN 10,02Year1,7/26/2006 12:00:00 AM,1,1,1,D,,X,1,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPN 10,02Year1,7/26/2006 12:00:00 AM,2,1,1,D,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPN 10,02Year1,7/26/2006 12:00:00 AM,3,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPN 10,02Year10,6/11/2015 3:55:10 PM,,,,,,,,,,,,,,1,1,10,25,250,BRANNFORS,KOEHLER,,,,,,True,
PIPN 10,02Year10,6/11/2015 3:55:10 PM,-2147483648,1,1,L,,,77,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPN 10,02Year2,8/28/2007 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
