MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIPN 10,01Post,5/20/1999 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1,1,0,,8,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPN 10,01Year1,7/8/1999 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 10,01Year1,7/8/1999 12:00:00 AM,1,1,0,,8,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPN 10,01Year2,6/23/2000 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 10,01Year2,6/23/2000 12:00:00 AM,1,1,0,,7.5,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPN 10,01Year5,7/3/2003 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 10,01Year5,7/3/2003 12:00:00 AM,1,1,0,,8.5,4,PIPN,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIPN 10,02Post,10/17/2005 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 10,02Year1,7/26/2006 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 10,02Year10,6/11/2015 3:55:10 PM,,,,,,,,,,,,4,50,LEACH;  HAMBY,KOEHLER,,,,,True,
PIPN 10,02Year2,8/28/2007 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 10,02Year5,6/17/2010 9:21:17 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 10,03Post,9/5/2018 2:42:18 PM,,,,,,,,,,,,4,50,McCLURE; MURDOCH,Marshall,,,,,True,
PIPN 10,03Year1,7/29/2019 10:18:19 AM,,,,,,,,,,,,4,50,BRANNFORS,,,,,,True,
PIPN 10,03Year2,7/17/2020 11:36:53 AM,,,,,,,,,,,,4,50,BRANNFORS,LALOR,,,,,True,
PIPN 10,03Year5,7/12/2023 1:46:54 PM,,,,,,,,,,,,4,50,Christensen; Brey,Christensen,,,,No CWD,True,
PIPN 10,Pre,9/22/1998 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 10,Pre,9/22/1998 12:00:00 AM,1,1,0,,9,4,PIPN,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIPN 01,01Post,10/20/1992 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 01,01Post,10/20/1992 12:00:00 AM,1,1,14,,6,4,PIPN,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPN 01,01Post,10/20/1992 12:00:00 AM,2,1,14,,5.3,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIPN 01,01Post,10/20/1992 12:00:00 AM,3,2,12,,5,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
PIPN 01,01Post,10/20/1992 12:00:00 AM,4,3,14,,6,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPN 01,01Year1,10/8/1993 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 01,01Year1,10/8/1993 12:00:00 AM,1,1,14,,5,4,PIPN,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPN 01,01Year1,10/8/1993 12:00:00 AM,2,1,14,,5.5,4,PIPN,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPN 01,01Year1,10/8/1993 12:00:00 AM,3,2,12,,4,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
PIPN 01,01Year1,10/8/1993 12:00:00 AM,4,3,14,,4,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPN 01,01Year1,10/8/1993 12:00:00 AM,5,3,14,,5.5,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
