MacroPlot.Name,Monitoring.Status,Date,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIPN 10,01Post,5/20/1999 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,15,,,,,,,,True,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1001,True,1,1,82,L,,,,X,,,,,,,,,,,,,,,,,3,9,5,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq1_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1002,True,1,1,83,L,,,,X,,,,,,,,,,,,,,,,,2.3,12,60,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq1_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1003,True,1,1,84,L,,,,X,,,,,,,,,,,,,,,,,1.8,11,25,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq1_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1004,True,1,1,85,L,,,,X,,,,,,,,,,,,,,,,,2,10,15,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq1_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1005,True,2,1,86,L,,,,X,,,,,,,,,,,,,,,,,2.2,12,50,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq2_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1006,True,2,1,87,D,,,,X,,,,,,,,,,,,,,,,,1.8,0,0,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq2_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1007,True,2,1,88,L,,,,X,,,,,,,,,,,,,,,,,1,12,20,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq2_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1008,True,2,1,89,D,,,,X,,,,,,,,,,,,,,,,,3,,,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq2_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1009,True,2,1,90,L,,,,X,,,,,,,,,,,,,,,,,1,7,5,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq2_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1010,True,2,1,91,L,,,,X,,,,,,,,,,,,,,,,,4,12,5,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq2_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1011,True,2,1,92,L,,,,X,,,,,,,,,,,,,,,,,1,8,30,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq2_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1012,True,3,1,1,D,,,,DD,,,,,,,,,,,,,,,,,,,,CNSM,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq3_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1013,True,3,1,93,L,,,,X,,,,,,,,,,,,,,,,,3.5,13,40,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq3_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1014,True,3,1,94,L,,,,X,,,,,,,,,,,,,,,,,4,17,15,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq3_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1015,True,3,1,95,L,,,,X,,,,,,,,,,,,,,,,,2.8,17,85,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq3_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1016,True,3,1,96,L,,,,X,,,,,,,,,,,,,,,,,3.5,17,85,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq3_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1017,True,3,1,97,L,,,,X,,,,,,,,,,,,,,,,,5.5,17,95,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq3_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1018,True,3,1,98,L,,,,X,,,,,,,,,,,,,,,,,5,17,80,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq3_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1019,True,3,1,99,D,,,,X,,,,,,,,,,,,,,,,,3.5,7,100,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq3_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1020,True,3,1,100,L,,,,X,,,,,,,,,,,,,,,,,4,9,100,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq3_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1021,True,4,1,6,L,,,,X,,,,,,,,,,,,,,,,,6,16,45,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq4_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1022,True,4,1,8,L,,,,X,,,,,,,,,,,,,,,,,3,15,30,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq4_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1023,True,4,1,9,L,,,,X,,,,,,,,,,,,,,,,,2.5,14,40,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq4_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Post,5/20/1999 12:00:00 AM,1024,True,4,1,15,L,,,,X,,,,,,,,,,,,,,,,,1.5,15,30,,-1,,-1,,-1,,-1,,-1,From FMH OVERPOST 1066,,, overq4_ALL,,,,,,,,,,PIPO,,
PIPN 10,01Year1,7/8/1999 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,15,,,,,,,,True,
PIPN 10,01Year1,7/8/1999 12:00:00 AM,1001,True,1,1,82,L,48.6,,,D,,,,,,,,,,,,,,,,,,,,WOND,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1_ALL,,,,,,,,,,PIPO,,
