MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIPO 14,01Post,9/30/1993 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,01Post,9/30/1993 12:00:00 AM,1,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,01Post,9/30/1993 12:00:00 AM,2,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,01Year1,8/1/1994 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,01Year1,8/1/1994 12:00:00 AM,1,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,01Year1,8/1/1994 12:00:00 AM,2,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,01Year2,8/7/1995 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,01Year2,8/7/1995 12:00:00 AM,1,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,01Year5,5/20/1998 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,01Year5,5/20/1998 12:00:00 AM,1,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,01Year5,5/20/1998 12:00:00 AM,2,1,1,L,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,02Post,7/18/1998 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,02Post,7/18/1998 12:00:00 AM,1,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,02Year1,5/12/1999 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,02Year1,5/12/1999 12:00:00 AM,1,1,1,L,,X,1,6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,02Year1,5/12/1999 12:00:00 AM,2,1,1,L,,X,1,5,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,02Year2,5/30/2000 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,02Year2,5/30/2000 12:00:00 AM,1,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,02Year5,5/15/2003 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,02Year5,5/15/2003 12:00:00 AM,1,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,03Post,11/15/2005 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,03Post,11/15/2005 12:00:00 AM,1,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,03Post,11/15/2005 12:00:00 AM,2,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,03Year1,5/16/2006 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,03Year1,5/16/2006 12:00:00 AM,1,1,1,L,,X,2,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,03Year10,5/20/2015 11:52:00 AM,,,,,,,,,,,,,,1,1,10,25,250,ALI,KOEHLER,,,,,,True,
PIPO 14,03Year2,6/11/2007 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,03Year2,6/11/2007 12:00:00 AM,1,1,1,L,,X,1,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,03Year2,6/11/2007 12:00:00 AM,2,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,03Year5,5/26/2010 4:01:08 PM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,03Year5,5/26/2010 4:01:08 PM,-2147483648,1,1,L,,,1,3,1,,,,,,,,,,,,,,,,PIED,,
PIPO 14,Pre,8/1/1993 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,Pre,8/1/1993 12:00:00 AM,1,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,Pre,8/1/1993 12:00:00 AM,2,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 10,01Post,5/28/1993 12:00:00 AM,1,1,1,D,,X,7,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,2,1,1,D,,X,16,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,3,1,1,D,,X,17,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,4,1,1,D,,X,34,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,5,1,1,D,,X,77,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,6,1,1,D,,X,22,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,7,1,1,D,,X,3,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,8,1,1,D,,X,5,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,9,1,1,D,,X,4,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,10,1,1,D,,X,3,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
