MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIPO 14,01Post,9/30/1993 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 14,01Post,9/30/1993 12:00:00 AM,1,1,96,2,5,7,1,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 14,01Post,9/30/1993 12:00:00 AM,2,2,70,1,0,0,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 14,01Post,9/30/1993 12:00:00 AM,3,3,250,1,1,0,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 14,01Post,9/30/1993 12:00:00 AM,4,4,36,4,3,0,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 14,01Year1,8/1/1994 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 14,01Year1,8/1/1994 12:00:00 AM,1,1,96,2,1,4,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 14,01Year1,8/1/1994 12:00:00 AM,2,2,70,1,0,0,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 14,01Year1,8/1/1994 12:00:00 AM,3,3,250,1,0,0,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 14,01Year1,8/1/1994 12:00:00 AM,4,4,36,4,0,0,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 14,01Year2,8/7/1995 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 14,01Year2,8/7/1995 12:00:00 AM,1,1,96,2,8,0,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 14,01Year2,8/7/1995 12:00:00 AM,2,2,70,1,2,1,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 14,01Year2,8/7/1995 12:00:00 AM,3,3,250,1,0,0,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 14,01Year2,8/7/1995 12:00:00 AM,4,4,36,4,2,1,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 14,01Year5,5/20/1998 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 14,01Year5,5/20/1998 12:00:00 AM,1,1,96,2,1,4,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 14,01Year5,5/20/1998 12:00:00 AM,2,2,70,1,0,4,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 14,01Year5,5/20/1998 12:00:00 AM,3,3,250,1,0,0,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 14,01Year5,5/20/1998 12:00:00 AM,4,4,36,4,4,2,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
