MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
SHOS 01,01Year1,5/4/2000 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,1,1,4,,8,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,2,1,4,,4.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,3,1,4,,8.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,4,2,1,,3,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,5,2,1,,8.5,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,6,2,1,,4,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,7,2,1,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,8,2,1,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,9,2,1,,4.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,10,2,1,,6.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,11,3,15,,10,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,12,3,15,,5.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,13,3,15,,6.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
