MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
SHOS 01,01Year1,5/4/2000 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,1,1,48,4,4,2,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,2,2,50,1,11,4,2,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,3,3,308,15,3,1,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,4,4,250,4,20,0,2,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,1,1,48,4,5,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,2,2,50,1,8,4,5,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,3,3,308,15,10,4,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,4,4,250,4,3,1,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,1,1,48,4,4,2,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,2,2,50,1,13,6,4,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,3,3,308,15,9,3,1,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,4,4,250,4,3,1,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
SHOS 01,Pre,4/14/1999 12:00:00 AM,1,1,48,4,7,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,2,2,50,1,8,3,4,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,3,3,308,15,9,3,1,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,4,4,250,4,5,1,1,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
