MacroPlot.Name,Monitoring.Status,Date,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
SHOS 01,01Year1,5/4/2000 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,15,,,,,,,,True,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,1,True,1,0.5,1,L,14.5,5,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,2,True,1,0.5,4,L,15,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,3,True,1,0.5,8,L,11.8,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,4,True,1,0.5,11,D,14,5,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,JUOS,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,5,True,1,0.5,62,L,8.9,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,6,True,1,0.5,63,L,5.9,3,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,7,True,1,0.5,64,D,4.6,2,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,8,True,1,0.5,65,L,2.9,3,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,9,True,1,0.5,66,L,7.5,3,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,10,True,1,0.5,67,L,6.7,3,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,11,True,1,0.5,72,D,9.1,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,JUOS,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,12,True,1,0.5,73,L,5.8,3,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,13,True,1,0.5,74,L,3.1,2,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,14,True,1,0.5,75,L,4,3,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,15,True,1,0.5,80,L,3.2,2,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,16,True,1,0.5,81,D,10.8,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,JUOS,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,17,True,1,0.5,82,L,7.5,3,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,18,True,1,0.5,84,L,9.5,3,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,19,True,1,0.5,85,L,11.8,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,20,True,1,0.5,87,L,11.7,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,21,True,1,0.5,88,L,8.3,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,22,True,1,0.5,89,L,11.8,4,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1_ALL,,,,,,,,,,PIED,,
