MacroPlot Name,Monitoring Status,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,,,,,,,,,,,,,4,6,6,12,Tumicki; Brannfors,Tumicki,horse,,,,True,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,1,1,44,1,4,3,0,PIPO,L of dead JUOS @ 1'; L of JUOS snag @ 56',,,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,2,2,273,3,1,2,0,PIPO,L of JUOS @ 10'; L of PIPO @ 37'; L of PIED @ 68',,,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,3,3,84,2,2,2,0,PIPO,R of PIPO #35 @ 7'; cross Q1-Q2 tape @ 6.5m,,,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,4,4,350,1,0,1,1,PIPO,Btw PIPO's @ 69',,,,,,,,,,,,,,,
PIPO 36,02Year5,6/15/2024 1:00:20 PM,,,,,,,,,,,,,4,6,6,12,Gilmore; Brannfors,Tumicki,horse,,,,True,
PIPO 36,02Year5,6/15/2024 1:00:20 PM,1,1,316,8,0,2,0,PIPO,Btwn PIPOs @ 15'; L of PIPO @ 42',,,,,,,,,,,,,,,
PIPO 36,02Year5,6/15/2024 1:00:20 PM,2,2,118,6,0,0,0,PIPO,L of PIPO @ 46',,,,,,,,,,,,,,,
PIPO 36,02Year5,6/15/2024 1:00:20 PM,3,3,247,8,0,1,1,PIPO,L of PIPO @ 67',,,,,,,,,,,,,,,
PIPO 36,02Year5,6/15/2024 1:00:20 PM,4,4,127,5,1,1,1,PIPO,R of PIPO @ 16',,,,,,,,,,,,,,,
PIPO 30,02Year5,6/15/2024 12:55:12 PM,,,,,,,,,,,,,4,6,6,12,Brannfors,Tumicki,Horse,,,,True,
PIPO 30,02Year5,6/15/2024 12:55:12 PM,1,1,248,4,2,3,1,PIPO,R of PIED @ 10'; L of JUOS @ 36'; R of JUOS @ 58'; R of JUOS @ 87',,,,,,,,,,,,,,,
PIPO 30,02Year5,6/15/2024 12:55:12 PM,2,2,309,3,1,4,1,PIPO,L of QUGA @ 26'; R of PIPO @ 80',,,,,,,,,,,,,,,
PIPO 30,02Year5,6/15/2024 12:55:12 PM,3,3,165,3,4,2,0,PIPO,L of PIED @ 90',,,,,,,,,,,,,,,
PIPO 30,02Year5,6/15/2024 12:55:12 PM,4,4,355,2,2,0,0,PIPO,Crosses Q3-Q2 @ 26.9 m,,,,,,,,,,,,,,,
PIPO 39,01Year1,6/16/2024 1:03:37 PM,,,,,,,,,,,,,4,6,6,12,Lalor; Hillyard,Tumicki,,,,,True,
PIPO 39,01Year1,6/16/2024 1:03:37 PM,1,1,169,3,3,0,0,PIPO,L of P1 @59ft; R of PIPO @80ft,,,,,,,,,,,,,,,
PIPO 39,01Year1,6/16/2024 1:03:37 PM,2,2,236,1,0,1,0,PIPO,L of PIPO #30 @13ft; R of PIPO #29 @33ft; 2B 8m L of snag,,,,,,,,,,,,,,,
PIPO 39,01Year1,6/16/2024 1:03:37 PM,3,3,268,3,0,0,0,PIPO,R of snag @81ft,,,,,,,,,,,,,,,
PIPO 39,01Year1,6/16/2024 1:03:37 PM,4,4,6,4,0,0,0,PIPO,L of PIPO #27 @8ft; R of blackened snag @67ft; L of PIPO @81ft,,,,,,,,,,,,,,,
PIPO 33,02Year5,6/14/2024 12:58:42 PM,,,,,,,,,,,,,4,6,6,12,Tumicki; Lalor,Tumicki,horse,,,,True,
PIPO 33,02Year5,6/14/2024 12:58:42 PM,1,1,241,3,1,1,0,PIPO,L of JUOS @ 55',,,,,,,,,,,,,,,
PIPO 33,02Year5,6/14/2024 12:58:42 PM,2,2,129,2,6,4,0,PIPO,R of PIED @ 93',,,,,,,,,,,,,,,
PIPO 33,02Year5,6/14/2024 12:58:42 PM,3,3,327,3,2,8,0,PIPO,L of PIPO @ 47',,,,,,,,,,,,,,,
PIPO 33,02Year5,6/14/2024 12:58:42 PM,4,4,5,0,0,2,0,PIPO,R of JUOS @ 54',,,,,,,,,,,,,,,
PIPO 29,01Year5,6/14/2024 12:43:28 PM,,,,,,,,,,,,,4,6,6,12,Garber; Gilmore; Brannfors,Tumicki,Bangtails (horses),,,,True,
PIPO 29,01Year5,6/14/2024 12:43:28 PM,1,1,340,0,0,0,3,PIPO,R of dead lil JUOS @ 37'; R of PIPO @ 66'; L of PIED @ 94',NA,NA,NA,,,,,,,,,,,,
PIPO 29,01Year5,6/14/2024 12:43:28 PM,2,2,326,4,0,2,0,PIPO,R of PIPO #15 @ 14'; R of dead JUOS @ 63'; L of dead JUOS @ 92',NA,NA,NA,,,,,,,,,,,,
PIPO 29,01Year5,6/14/2024 12:43:28 PM,3,3,326,3,0,2,0,PIPO,L of PIPO #178 @ 1'; R of PIPO #179 @ 9'; L of JUOS @ 91',NA,NA,NA,,,,,,,,,,,,
PIPO 29,01Year5,6/14/2024 12:43:28 PM,4,4,38,1,1,4,0,PIPO,R of 3A & PIPO @ 34'; L of JUOS @ 78',NA,NA,NA,,,,,,,,,,,,
PIPO 37,01Year20,6/16/2024 1:02:01 PM,,,,,,,,,,,,,4,6,6,12,Lalor; Hillyard,Tumicki,horse,,,,True,
PIPO 37,01Year20,6/16/2024 1:02:01 PM,1,1,164,11,0,3,0,PIPO,L of PIPO #91 @5ft; crosses Q3-Q2 @3.8m; R of PIPO @ 84',,,,,,,,,,,,,,,
PIPO 37,01Year20,6/16/2024 1:02:01 PM,2,2,252,3,4,9,0,PIPO,L of PIPO @ 28'; Crosses R of Q4 @ 69',,,,,,,,,,,,,,,
PIPO 37,01Year20,6/16/2024 1:02:01 PM,3,3,95,4,4,3,1,PIPO,Crosses Q3-Q2 at 34.2m & 36ft; L of big PIPO @ 74FT,,,,,,,,,,,,,,,
PIPO 37,01Year20,6/16/2024 1:02:01 PM,4,4,272,2,7,6,0,PIPO,Crosses Q4-Q1 @35.9 & 35.5ft; L of PIED @ 80',,,,,,,,,,,,,,,
