MacroPlot Name,Date,Index,Transect,Point,TapeDist,Veg,Sub,Comment,UV1,UV2,UV3,NumTran,TranLen,NumPtsTran,PlotType,PtArea,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
PIPO 14,9/30/1993 12:00:00 AM,,,,,,,,,,,4,50,10,Forest,,,,,,,,True,
PIPO 14,9/30/1993 12:00:00 AM,1,1,1,1,0,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,2,1,2,5,0,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,3,1,3,10,0,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,4,1,4,15,0,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,5,1,5,20,0,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,6,1,6,25,0,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,7,1,7,30,0,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,8,1,8,35,0,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,9,1,9,40,0,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,10,1,10,45,0,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,11,2,1,1,0,5,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,12,2,2,5,0,5,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,13,2,3,10,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,14,2,4,15,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,15,2,5,20,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,16,2,6,25,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,17,2,7,30,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,18,2,8,35,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,19,2,9,40,0,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,20,2,10,45,4,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,21,3,1,1,0,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,22,3,2,5,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,23,3,3,10,0,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,24,3,4,15,0,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,25,3,5,20,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,26,3,6,25,0,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,27,3,7,30,0,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,28,3,8,35,0,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,29,3,9,40,0,3,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,30,3,10,45,0,3,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,31,4,1,1,0,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
