MacroPlot Name,Monitoring Status,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
PIPO 02,Pre,6/3/1990 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 01,Pre,5/28/1991 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 01,Pre,5/28/1991 12:00:00 AM,1,1,8,,3,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPO 01,Pre,5/28/1991 12:00:00 AM,2,1,8,,3,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPO 01,Pre,5/28/1991 12:00:00 AM,3,2,2,,13,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 01,Pre,5/28/1991 12:00:00 AM,4,2,2,,13,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 03,PR01,5/15/1992 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 04,PR01,5/27/1992 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 04,PR01,5/27/1992 12:00:00 AM,1,1,0,,5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIPO 04,PR01,5/27/1992 12:00:00 AM,2,1,0,,5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIPO 05,Pre,5/28/1992 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 01,01Post,7/7/1992 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 02,01Post,7/18/1992 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 07,Pre,9/9/1992 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 08,Pre,9/25/1992 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 08,Pre,9/25/1992 12:00:00 AM,1,1,6,,8,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPO 08,Pre,9/25/1992 12:00:00 AM,2,1,6,,8,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPO 08,Pre,9/25/1992 12:00:00 AM,3,2,2,,11,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPO 08,Pre,9/25/1992 12:00:00 AM,4,2,2,,11,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPO 08,Pre,9/25/1992 12:00:00 AM,5,3,2,,6,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 08,Pre,9/25/1992 12:00:00 AM,6,3,2,,6,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 08,Pre,9/25/1992 12:00:00 AM,7,3,2,,4,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 08,Pre,9/25/1992 12:00:00 AM,8,3,2,,4,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 09,Pre,10/7/1992 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 09,Pre,10/7/1992 12:00:00 AM,1,1,6,,3.2,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIPO 09,Pre,10/7/1992 12:00:00 AM,2,1,6,,3.2,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIPO 09,Pre,10/7/1992 12:00:00 AM,3,2,9,,4,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 09,Pre,10/7/1992 12:00:00 AM,4,2,9,,4,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 07,01Post,10/9/1992 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
