AdministrationUnit_Name,ProjectUnit_Name,MacroPlot_Name,Multi_PU,SampleEvent_Date,SampleEvent_LegacyMonitoringStatus,MonitoringStatus_Name,Protocols,Visited
"GRCA","ALL_FMH","PIAB 01","Y",8/17/2006,"","Pre","Density - Quadrats (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",8/17/2006,"","Pre","Cover - Species Composition (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",8/17/2006,"","Pre","Surface Fuels","Y"
"GRCA","ALL_FMH","PIAB 01","Y",8/17/2006,"","Pre","Density - Belts (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",8/17/2006,"","Pre","Trees - Individuals (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",8/17/2006,"","Pre","Cover - Points (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",11/2/2007,"","01Post","Trees - Individuals (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",11/2/2007,"","01Post","Density - Belts (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",11/2/2007,"","01Post","Surface Fuels","Y"
"GRCA","ALL_FMH","PIAB 01","Y",11/2/2007,"","01Post","Post Burn Severity","Y"
"GRCA","ALL_FMH","PIAB 01","Y",11/2/2007,"","01Post","Density - Quadrats (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/22/2008 7:51:16 AM,"","01Year1","Density - Quadrats (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/22/2008 7:51:16 AM,"","01Year1","Cover - Species Composition (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/22/2008 7:51:16 AM,"","01Year1","Surface Fuels","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/22/2008 7:51:16 AM,"","01Year1","Density - Belts (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/22/2008 7:51:16 AM,"","01Year1","Cover - Points (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/22/2008 7:51:16 AM,"","01Year1","Trees - Individuals (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",6/25/2009 9:27:51 AM,"","01Year2","Trees - Individuals (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",6/25/2009 9:27:51 AM,"","01Year2","Cover - Points (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",6/25/2009 9:27:51 AM,"","01Year2","Density - Belts (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",6/25/2009 9:27:51 AM,"","01Year2","Surface Fuels","Y"
"GRCA","ALL_FMH","PIAB 01","Y",6/25/2009 9:27:51 AM,"","01Year2","Cover - Species Composition (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",6/25/2009 9:27:51 AM,"","01Year2","Density - Quadrats (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/5/2012 9:15:15 AM,"","01Year5","Density - Quadrats (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/5/2012 9:15:15 AM,"","01Year5","Cover - Species Composition (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/5/2012 9:15:15 AM,"","01Year5","Surface Fuels","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/5/2012 9:15:15 AM,"","01Year5","Density - Belts (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/5/2012 9:15:15 AM,"","01Year5","Trees - Individuals (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/5/2012 9:15:15 AM,"","01Year5","Cover - Points (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/18/2017 2:42:16 PM,"","01Year10","Cover - Points (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/18/2017 2:42:16 PM,"","01Year10","Trees - Individuals (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/18/2017 2:42:16 PM,"","01Year10","Density - Belts (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/18/2017 2:42:16 PM,"","01Year10","Surface Fuels","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/18/2017 2:42:16 PM,"","01Year10","Cover - Species Composition (metric)","Y"
"GRCA","ALL_FMH","PIAB 01","Y",7/18/2017 2:42:16 PM,"","01Year10","Density - Quadrats (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",6/21/1993,"","PR01","Density - Quadrats (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",6/21/1993,"","PR01","Cover - Species Composition (metric)","N"
"GRCA","ALL_FMH","PIAB 02","Y",6/21/1993,"","PR01","Surface Fuels","Y"
"GRCA","ALL_FMH","PIAB 02","Y",6/21/1993,"","PR01","Density - Belts (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",6/21/1993,"","PR01","Trees - Individuals (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",6/21/1993,"","PR01","Cover - Points (metric)","N"
"GRCA","ALL_FMH","PIAB 02","Y",7/12/1997,"","Pre","Trees - Individuals (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",7/12/1997,"","Pre","Cover - Points (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",7/12/1997,"","Pre","Density - Belts (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",7/12/1997,"","Pre","Surface Fuels","Y"
"GRCA","ALL_FMH","PIAB 02","Y",7/12/1997,"","Pre","Cover - Species Composition (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",7/12/1997,"","Pre","Density - Quadrats (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",8/9/1999,"","01Year1","Density - Quadrats (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",8/9/1999,"","01Year1","Cover - Species Composition (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",8/9/1999,"","01Year1","Surface Fuels","Y"
"GRCA","ALL_FMH","PIAB 02","Y",8/9/1999,"","01Year1","Density - Belts (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",8/9/1999,"","01Year1","Trees - Individuals (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",8/9/1999,"","01Year1","Cover - Points (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",7/7/2000,"","01Year2","Cover - Points (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",7/7/2000,"","01Year2","Trees - Individuals (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",7/7/2000,"","01Year2","Density - Belts (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",7/7/2000,"","01Year2","Surface Fuels","Y"
"GRCA","ALL_FMH","PIAB 02","Y",7/7/2000,"","01Year2","Cover - Species Composition (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",7/7/2000,"","01Year2","Density - Quadrats (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",9/15/2003,"","01Year5","Density - Quadrats (metric)","Y"
"GRCA","ALL_FMH","PIAB 02","Y",9/15/2003,"","01Year5","Cover - Species Composition (metric)","Y"
